A,B,C
802,920,1722
935,822,1757
405,983,1388
372,24,396
336,765,1101
290,778,1068
106,958,1064
280,600,880
378,728,1106
127,653,780
793,547,1340
221,295,516
556,742,1313
581,542,1123
9,413,422
33,384,417
444,717,1161
804,230,1034
816,657,1473
570,306,836
561,703,1264
43,264,307
26,193,219
780,500,1280
809,960,1769
713,848,1561
947,296,1243
359,511,870
240,354,594
972,67,1039
60,7,67
267,436,703
743,585,1328
12,446,458
39,811,850
866,476,1342
383,13,396
897,986,1883
87,384,471
594,240,834
160,312,472
504,308,812
176,867,1043
557,965,1522
29,488,517
157,329,486
500,296,796
981,40,1017
726,540,1258
169,467,636
998,805,1803
399,573,972
256,462,718
686,688,1374
242,453,695
623,398,1021
638,562,1200
649,925,1574
948,486,1434
772,163,935
967,629,1596
664,106,770
304,561,865
179,564,743
857,682,1539
406,778,1184
468,492,960
65,378,443
892,287,1179
165,382,547
189,649,838
899,419,1318
613,606,1219
58,426,484
416,349,765
994,525,1519
578,668,1246
138,809,947
557,620,1177
618,452,1070
991,186,1177
509,18,577
359,57,416
93,90,183
721,426,1147
548,206,754
904,29,933
725,11,736
406,204,610
332,474,806
789,764,1553
989,518,1507
736,811,1547
980,130,1110
838,155,993
424,478,902
37,653,690
13,852,865
969,701,1670
340,578,918
895,220,1115
962,234,1196
404,350,754
896,72,968
876,93,969
993,786,1779
481,465,946
648,379,1027
324,47,371
856,533,1389
799,553,1352
233,40,262
145,376,521
288,850,1138
786,79,865
452,562,1014
463,171,634
466,591,1045
835,498,1354
494,983,1477
155,6,161
436,708,1144
367,342,709
249,733,982
651,159,834
772,39,811
574,256,830
517,459,976
645,16,661
475,620,1095
56,2,58
471,534,1005
392,661,1053
336,914,1250
113,498,611
859,668,1527
54,773,827
245,45,290
695,85,780
451,195,646
978,309,1287
709,44,753
424,336,775
356,227,583
697,421,1139
132,269,401
514,628,1142
747,154,901
127,495,622
959,264,1223
777,603,1380
786,968,1754
798,475,1273
989,125,1114
347,976,1323
397,816,1213
903,247,1150
339,49,388
640,111,751
168,133,301
926,669,1595
717,791,1508
233,683,916
767,503,1270
68,643,711
535,993,1528
484,364,848
872,432,1304
535,137,672
730,78,808
671,204,875
396,721,1117
485,184,669
272,917,1239
234,540,774
37,6,43
127,12,139
701,112,813
130,443,573
429,150,579
232,165,397
905,677,1582
264,89,353
88,555,643
192,637,829
796,72,868
664,192,856
148,171,319
819,543,1363
856,697,1553
595,182,777
255,165,420
673,524,1197
263,379,642
183,746,891
875,726,1601
60,887,947
783,411,1194
949,489,1438
265,997,1262
325,906,1231
598,506,1104
397,156,553
216,826,1042
79,636,715
798,886,1647
380,59,439
994,885,1879
11,458,469
617,309,926
393,234,627
21,527,548
192,738,930
292,378,670
31,642,673
354,2,356
854,222,1076
315,465,780
452,306,758
135,597,732
930,573,1476
619,930,1505
583,640,1223
624,124,748
104,783,887
188,980,1168
471,986,1457
59,756,815
901,262,1163
765,517,1282
756,210,966
804,55,864
483,331,814
66,940,1006
332,312,644
202,312,514
1,677,678
995,749,1724
928,652,1580
344,426,770
124,276,400
904,165,1069
958,248,1206
165,548,713
255,213,468
265,349,614
622,596,1218
182,639,821
843,253,1096
223,83,306
298,102,400
43,222,265
350,798,1148
215,312,527
634,739,1373
697,468,1165
39,950,989
784,437,1221
954,327,1281
5,24,29
538,308,846
677,901,1578
45,645,690
142,960,1102
89,460,549
92,737,829
488,495,983
662,693,1355
352,702,1054
626,605,1231
594,859,1453
722,902,1624
610,480,1090
428,656,1084
421,868,1289
707,959,1666
612,165,777
259,9,268
405,845,1250
820,681,1501
23,994,1017
647,109,756
464,412,876
946,64,1010
995,892,1845
654,412,1066
65,223,324
68,689,746
320,218,538
429,750,1179
796,45,841
882,678,1560
717,578,1295
845,351,1196
33,256,289
222,687,909
212,569,781
476,869,1345
360,832,1192
352,173,525
500,345,845
701,393,1094
342,765,1107
34,450,484
766,46,812
811,667,1478
634,391,1025
588,636,1224
231,620,851
467,3,470
846,936,1782
23,484,507
401,980,1381
786,256,1028
158,1000,1158
718,281,1045
935,204,1139
963,282,1245
822,456,1278
348,35,383
705,177,882
733,183,916
371,909,1280
683,401,1084
881,533,1414
286,478,759
255,374,629
216,699,915
513,84,597
891,467,1358
504,412,916
762,628,1353
927,899,1826
347,43,390
367,235,602
450,549,999
975,848,1823
424,773,1197
605,960,1565
48,516,564
923,491,1414
139,114,253
479,842,1321
234,953,1187
715,651,1366
616,259,875
519,840,1359
380,786,1166
461,125,586
669,486,1133
226,797,1023
875,14,889
342,387,729
358,464,822
63,635,698
490,463,953
14,453,467
666,365,1031
934,354,1288
673,412,1085
124,135,259
411,785,1196
776,601,1377
243,213,456
567,966,1533
633,631,1264
640,330,970
364,675,1039
529,613,1142
402,801,1172
172,547,719
542,885,1427
346,71,417
485,886,1371
351,247,598
905,431,1336
590,686,1271
398,679,1037
749,614,1363
227,204,431
64,998,1062
4,735,739
313,564,877
255,639,894
24,161,185
111,925,1036
503,472,975
127,869,996
865,183,1048
384,133,517
971,362,1333
823,276,1099
228,846,1074
847,260,1107
424,512,936
557,903,1460
817,375,1192
401,67,468
6,729,735
169,189,358
897,40,937
378,65,443
839,933,1772
659,548,1158
419,448,867
353,911,1264
961,121,1082
197,343,540
88,262,350
329,738,1067
428,813,1241
981,171,1152
692,848,1540
193,394,554
778,107,885
891,562,1453
148,504,652
97,982,1079
716,64,780
195,387,582
280,714,994
298,536,867
242,456,698
659,690,1349
649,612,1261
96,19,115
637,798,1435
859,352,1211
835,170,1005
580,225,805
556,485,1041
741,585,1326
960,770,1730
89,709,798
532,456,988
279,79,358
631,829,1500
229,886,1115
475,989,1464
646,981,1627
453,595,1048
255,67,322
197,787,984
515,386,901
664,619,1283
555,11,566
633,596,1229
859,255,1114
642,927,1569
571,701,1272
619,360,979
767,200,967
206,910,1116
937,859,1796
454,623,1077
268,377,654
630,807,1437
104,857,961
982,493,1475
278,56,334
251,229,480
83,448,531
617,427,1044
582,5,587
325,157,482
555,616,1171
943,429,1372
853,7,860
88,184,225
213,445,658
314,504,818
351,842,1193
665,888,1553
253,841,1094
562,457,1019
682,791,1473
778,360,1138
328,320,648
690,924,1614
661,471,1132
256,127,383
636,547,1183
62,298,360
114,629,743
779,703,1482
131,109,240
474,226,700
137,113,250
294,797,1091
286,599,885
169,500,669
125,909,1034
51,390,441
923,523,1446
495,472,967
44,343,385
82,158,240
995,631,1626
171,354,525
525,630,1155
884,991,1871
678,704,1382
848,793,1641
57,514,571
750,313,1063
532,463,995
368,830,1198
552,525,1077
462,178,640
816,122,938
556,473,1029
954,743,1697
953,817,1770
407,655,1062
572,178,737
925,690,1615
893,844,1737
531,985,1516
834,730,1564
171,966,1137
451,402,853
231,867,1098
409,495,904
801,765,1566
921,616,1537
990,451,1465
917,770,1687
905,590,1495
651,454,1120
508,722,1230
643,950,1593
472,895,1367
684,955,1639
377,21,398
758,574,1332
362,825,1187
489,342,799
957,57,1014
865,503,1368
842,635,1477
788,76,864
338,658,996
852,69,921
290,654,944
111,979,1090
608,479,1087
49,277,326
26,85,111
602,406,1008
401,629,1030
805,181,986
926,372,1298
777,259,1036
537,390,920
419,341,760
408,353,761
266,759,1025
291,893,1184
286,661,947
976,90,1066
914,808,1722
848,32,880
658,38,696
32,850,882
283,558,866
987,375,1348
228,611,839
350,982,1332
9,330,308
149,430,579
762,177,943
798,257,1055
813,872,1685
34,972,1006
59,517,576
604,931,1535
566,939,1505
565,105,670
935,823,1758
660,178,799
738,970,1708
107,603,710
303,860,1163
975,516,1491
828,119,947
326,914,1240
787,735,1522
353,913,1266
290,474,726
513,389,902
866,428,1257
799,299,1098
999,739,1761
283,138,421
528,912,1440
106,492,594
887,27,914
103,422,525
938,136,1074
635,371,1006
378,201,538
372,166,538
430,915,1345
816,830,1646
68,782,873
584,558,1142
97,124,221
962,673,1635
670,922,1592
649,200,861
686,67,753
903,110,1013
884,677,1561
805,489,1294
886,128,1014
492,589,1081
344,435,765
988,134,1122
695,193,898
727,163,890
327,663,962
503,746,1249
405,50,415
486,426,912
591,846,1437
727,526,1253
225,973,1198
985,957,1942
148,907,1055
46,294,340
344,7,351
499,187,686
654,747,1401
977,116,1093
150,522,672
987,439,1426
758,297,1055
315,990,1305
611,108,719
843,243,1086
146,769,915
251,464,715
574,185,722
29,54,83
893,343,1191
933,951,1884
74,113,187
469,288,757
344,288,632
449,3,452
860,711,1571
608,51,659
73,271,344
906,207,1113
290,693,983
810,790,1617
201,591,792
834,460,1294
618,84,702
228,835,1063
798,998,1824
754,454,1208
860,444,1304
747,585,1332
703,441,1144
32,233,265
130,850,980
562,78,640
573,125,698
768,634,1402
780,2,782
378,276,654
695,919,1614
236,865,1101
142,438,580
901,541,1442
263,650,913
862,72,934
20,365,385
453,174,627
481,90,614
210,240,428
218,636,854
461,174,635
921,768,1689
897,325,1251
596,960,1556
713,252,965
472,280,752
288,775,1063
855,471,1326
821,375,1196
115,675,790
651,893,1544
216,904,1120
661,264,925
563,343,906
173,838,1011
809,434,1243
353,726,1079
786,511,1297
141,354,495
704,73,777
896,718,1605
761,175,945
982,303,1285
678,614,1327
31,256,287
495,608,1103
913,805,1718
548,455,1003
565,51,616
446,308,754
969,358,1327
726,425,1194
609,142,751
728,417,1145
222,583,805
285,575,860
407,682,1089
6,606,642
4,473,477
713,922,1635
699,123,822
752,340,1092
644,934,1611
913,309,1222
302,373,675
208,21,229
757,467,1224
761,601,1362
563,852,1415
213,778,991
375,711,1086
286,429,715
551,140,691
478,429,907
934,226,1160
292,691,983
318,157,475
59,736,795
619,10,629
175,103,278
74,255,329
751,476,1227
336,500,836
69,973,1042
349,665,1014
845,819,1664
898,776,1674
77,181,258
756,178,934
550,385,959
583,13,596
54,667,721
892,552,1444
997,574,1571
266,140,406
250,70,320
902,214,1093
558,684,1242
821,434,1229
709,666,1381
236,364,600
379,813,1192
437,594,1031
201,220,421
316,523,839
10,541,551
533,103,636
97,332,429
970,819,1789
303,495,798
480,430,910
937,479,1465
367,253,620
851,331,1182
367,226,593
662,944,1606
967,901,1868
198,483,681
684,624,1308
683,964,1647
722,147,869
134,256,390
527,189,716
261,474,735
970,652,1622
835,312,1147
691,645,1336
841,576,1386
154,814,968
970,826,1796
172,862,1034
615,846,1461
689,951,1640
744,525,1269
779,935,1714
869,90,959
754,848,1602
168,6,173
870,567,1437
326,87,413
973,280,1253
213,997,1210
255,971,1226
514,227,707
479,69,548
20,948,1013
654,293,947
714,916,1630
223,767,990
776,726,1502
876,125,1001
328,200,528
522,440,989
797,533,1330
440,366,806
184,564,748
141,918,1059
761,615,1376
561,984,1545
943,784,1727
168,126,294
7,127,134
177,847,1064
203,111,293
942,755,1697
637,444,1038
270,800,1036
347,564,911
459,48,507
473,531,1035
940,634,1574
79,956,1035
794,8,802
697,967,1664
616,674,1290
495,292,793
696,251,915
311,751,1062
258,27,285
475,51,526
753,619,1372
10,158,168
631,975,1606
510,444,954
679,986,1665
994,822,1816
467,664,1131
341,428,769
920,190,1110
102,285,387
281,921,1202
610,178,788
149,122,271
975,34,1009
337,747,1084
140,328,468
781,56,837
837,749,1586
351,734,1085
263,739,1002
994,428,1422
382,957,1339
86,363,449
314,894,1208
321,474,795
60,529,589
425,141,607
535,417,952
74,830,904
283,652,935
931,72,1003
521,403,924
78,478,556
855,78,933
761,394,1155
351,287,638
402,277,679
437,394,831
760,399,1159
708,67,775
39,137,176
871,419,1290
157,200,357
29,427,456
866,133,999
520,289,809
944,129,1073
318,115,433
4,754,758
331,972,1303
246,597,843
289,897,1186
571,745,1316
683,539,1222
272,567,839
534,334,868
992,342,1334
74,159,233
188,971,1159
309,35,344
242,784,1026
192,166,358
986,601,1587
731,281,1012
830,782,1653
447,315,762
794,668,1462
660,17,676
344,429,773
588,564,1152
208,472,680
331,662,993
869,475,1344
673,442,1115
607,303,910
355,959,1314
296,401,697
699,751,1450
26,494,520
870,718,1620
442,257,699
878,119,997
526,826,1352
778,788,1566
33,269,302
900,773,1673
238,2,240
720,522,1242
325,521,846
610,33,643
913,533,1407
993,422,1415
772,523,1295
527,965,1530
89,256,345
256,404,660
950,289,1239
893,622,1515
777,163,898
382,955,1337
338,889,1227
319,134,453
389,174,563
763,688,1451
187,572,759
514,60,574
80,832,912
331,39,323
827,711,1538
193,672,836
36,136,172
671,849,1520
962,722,1684
942,758,1700
480,434,914
186,200,386
397,803,1200
588,864,1452
122,702,824
869,590,1449
720,401,1121
313,455,768
919,650,1569
559,122,678
585,508,1093
560,928,1488
667,188,855
540,680,1220
617,339,956
326,488,814
263,842,1073
68,686,754
71,984,1055
640,285,925
771,664,1435
188,343,531
177,601,778
753,205,958
13,209,222
218,834,1052
752,528,1280
598,396,994
993,206,1199
834,661,1495
603,166,769
659,730,1389
746,409,1155
98,837,935
432,67,542
787,558,1345
153,3,156
652,118,815
507,391,898
825,492,1317
35,564,599
224,717,941
970,387,1357
428,375,803
293,595,888
422,470,892
594,78,672
17,434,447
788,698,1486
164,310,510
990,189,1179
31,23,54
209,357,566
813,994,1807
29,493,522
267,56,323
993,53,1046
653,455,1108
684,530,1214
205,888,1093
892,791,1683
267,914,1181
920,805,1725
824,808,1632
457,725,1182
635,380,1015
61,968,1029
805,912,1717
195,792,987
14,348,362
704,720,1424
945,556,1501
900,290,1213
507,218,750
745,701,1446
603,853,1456
472,845,1317
150,772,922
805,453,1258
466,164,630
353,79,432
800,989,1789
236,735,971
25,519,544
281,610,891
367,414,781
362,314,676
136,717,853
386,999,1350
930,554,1484
593,107,700
416,782,1198
408,629,1037
443,553,996
283,643,926
935,176,1111
976,28,983
713,341,1054
582,65,647
21,708,729
968,56,987
552,532,1084
611,962,1573
628,754,1382
822,840,1662
575,555,1130
979,400,1379
424,182,606
582,480,1062
346,315,642
135,335,470
801,58,859
751,666,1417
328,945,1273
68,149,217
458,958,1395
357,602,959
811,162,973
269,623,892
913,113,1026
938,402,1340
996,845,1841
301,758,1059
849,390,1239
659,830,1489
604,312,916
229,59,288
600,445,1052
996,564,1560
534,152,686
639,940,1579
787,580,1367
463,862,1325
447,445,892
901,221,1122
72,907,979
425,148,596
59,782,841
232,210,442
640,728,1368
397,380,777
981,843,1824
276,523,799
736,406,1191
14,162,176
600,300,900
825,457,1282
235,121,356
759,956,1715
521,326,847
734,650,1384
176,186,324
259,570,829
464,918,1382
523,707,1230
655,182,837
678,816,1494
850,385,1235
66,491,557
152,45,197
929,356,1285
161,162,323
54,440,494
214,348,562
291,854,1145
550,797,1347
341,239,580
213,387,600
349,965,1314
871,789,1660
69,298,367
483,416,899
483,717,1200
873,507,1408
797,795,1592
160,785,945
857,236,1093
654,406,1060
631,577,1208
914,816,1730
872,851,1723
992,594,1586
519,321,840
160,64,224
154,320,474
358,290,648
148,875,1023
388,691,1079
80,426,506
504,597,1101
254,475,691
577,757,1334
930,359,1289
656,78,734
434,958,1392
379,281,660
733,251,984
381,221,602
401,729,1130
883,285,1168
340,233,573
818,451,1269
92,223,315
167,74,241
305,61,366
564,632,1196
880,553,1440
867,290,1157
476,916,1392
375,552,927
624,947,1578
52,994,1046
395,238,633
754,943,1697
411,792,1203
773,591,1364
408,21,429
41,935,976
848,401,1239
498,562,1060
552,734,1286
476,41,517
616,912,1528
56,921,977
81,567,648
758,915,1709
187,39,226
397,179,576
557,513,1070
800,347,1147
722,102,824
95,752,847
961,389,1350
961,7,968
467,210,677
973,686,1673
983,510,1493
605,478,1083
492,754,1246
512,573,1035
8,413,421
151,149,300
332,745,1077
568,856,1424
610,587,1197
490,796,1286
999,681,1680
58,350,408
579,175,754
476,279,755
197,289,486
390,59,449
413,899,1312
804,14,818
475,505,980
74,881,955
276,541,817
539,860,1399
935,72,1007
279,971,1221
432,168,600
529,814,1343
344,328,672
63,645,708
487,664,1151
572,34,606
591,832,1423
540,863,1403
793,223,1016
240,526,766
693,828,1521
273,628,901
118,359,477
929,966,1895
871,38,909
540,58,598
478,973,1451
616,354,970
678,778,1456
59,220,279
751,226,977
478,523,1001
356,208,564
627,51,678
633,844,1477
787,811,1622
437,427,864
896,1,923
390,632,1048
130,762,892
367,957,1324
713,223,936
312,34,346
139,981,1120
674,854,1528
482,398,880
515,602,1117
136,168,304
204,313,517
517,207,724
605,78,683
475,582,1094
806,293,1099
840,306,1146
402,541,943
105,865,970
800,717,1517
253,348,601
669,886,1555
600,730,1330
407,439,846
869,749,1618
722,450,1172
258,376,634
426,35,461
982,557,1539
347,892,1239
404,347,751
911,44,955
726,172,898
966,328,1294
779,931,1710
383,128,511
337,3,340
735,370,1107
975,934,1909
730,104,809
793,356,1149
150,235,385
986,792,1778
578,986,1564
715,603,1318
641,70,711
488,283,771
827,56,883
965,254,1219
146,708,854
148,797,945
239,612,851
529,49,578
815,244,1059
642,710,1352
227,468,695
974,309,1283
679,560,1239
419,724,1143
794,555,1349
46,634,680
810,165,975
839,225,1064
879,552,1431
449,897,1346
406,406,812
380,412,792
55,561,616
808,944,1752
905,362,1267
667,502,1169
402,247,649
149,325,474
188,725,913
812,425,1237
635,529,1164
326,557,883
132,562,694
213,218,431
722,746,1468
269,603,888
911,125,1036
131,889,1032
135,796,931
751,367,1118
918,421,1339
303,215,518
821,499,1320
905,999,1904
250,963,1213
93,249,342
15,993,1008
655,454,1109
984,753,1737
884,375,1259
118,291,409
845,164,1009
269,523,792
445,680,1125
353,118,471
653,638,1291
29,846,875
284,472,756
6,320,326
526,153,679
758,400,1158
306,620,926
879,190,1101
133,524,657
294,933,1227
591,104,695
475,407,882
623,729,1352
811,875,1686
798,869,1667
792,791,1583
385,731,1116
372,281,653
973,43,1016
693,496,1189
512,168,680
61,638,699
841,31,872
967,735,1702
339,355,694
428,337,765
331,874,1205
339,538,877
739,750,1489
337,684,1021
140,506,646
38,653,691
529,577,1106
515,725,1240
26,9,35
329,46,375
431,443,874
695,297,992
289,700,989
655,563,1218
851,760,1611
617,88,705
339,264,603
940,257,1197
897,124,1012
502,24,526
827,686,1513
873,587,1460
324,896,1220
385,429,814
478,544,1022
771,287,1058
710,482,1192
523,479,1002
1,435,436
984,549,1536
543,39,542
676,337,1013
605,47,652
338,8,346
96,749,845
135,697,832
449,463,912
90,74,164
829,6,835
98,312,410
704,830,1534
937,421,1358
294,777,1071
362,943,1305
571,346,917
563,855,1418
13,472,485
771,534,1305
229,193,422
161,128,289
166,489,655
426,511,937
889,420,1309
976,102,1078
260,988,1248
900,709,1609
968,915,1883
824,232,1056
132,71,203
84,946,1030
105,636,741
556,462,1018
614,311,925
601,402,1003
584,548,1132
247,855,1102
434,211,645
768,412,1180
457,533,990
942,451,1393
682,600,1282
361,727,1088
223,51,274
408,597,1005
316,90,406
371,736,1107
25,787,812
353,561,914
787,307,1094
847,581,1428
252,138,390
256,582,838
461,180,641
325,977,1302
717,675,1392
5,558,563
527,62,589
729,184,913
966,63,1029
330,72,402
43,565,608
766,423,1189
744,735,1479
754,999,1753
299,941,1240
242,351,593
298,554,852
942,329,1271
603,376,979
387,787,1174
457,30,487
83,370,453
492,213,705
530,341,871
345,678,1023
808,686,1494
906,52,958
815,128,978
162,6,168
259,82,341
331,998,1329
846,697,1543
134,287,421
255,919,1174
291,726,1017
594,6,600
964,646,1610
473,340,813
759,300,1059
975,428,1403
694,827,1521
382,725,1107
563,841,1404
458,296,754
436,615,1051
827,663,1490
264,234,498
304,928,1232
399,550,949
354,720,1074
708,439,1147
905,854,1759
941,6,905
257,676,933
878,428,1306
321,421,742
986,787,1773
125,65,190
102,264,366
103,746,849
841,540,1381
31,113,144
14,981,995
819,916,1735
10,484,494
521,705,1226
828,234,1062
717,295,1012
920,872,1792
716,658,1374
942,492,1434
246,159,405
950,121,1071
768,690,1458
723,622,1345
752,653,1405
897,650,1547
39,741,780
249,281,530
523,610,1133
664,56,750
302,186,494
131,421,552
195,701,896
3,703,706
149,161,310
20,737,801
346,801,1147
950,682,1632
137,214,351
968,477,1445
319,413,732
629,848,1477
382,928,1265
502,750,1252
423,700,1123
191,364,555
120,876,990
913,781,1694
91,768,859
489,97,586
391,913,1304
392,775,1167
3,844,847
61,726,787
486,129,591
755,911,1666
954,766,1720
986,583,1569
119,438,557
488,175,613
325,645,970
402,993,1395
527,395,922
875,338,1213
52,322,374
182,208,390
523,112,635
479,951,1430
595,199,796
864,580,1424
833,494,1327
436,137,573
444,647,1091
420,132,552
681,564,1245
675,164,839
80,974,1054
369,71,440
48,257,305
961,322,1283
374,691,1065
284,118,441
104,624,728
258,990,1248
74,463,537
298,513,811
845,907,1752
598,393,991
394,132,526
843,227,1070
82,47,129
117,38,155
556,105,661
724,908,1632
389,149,556
513,441,938
619,342,961
567,216,783
701,361,1062
420,947,1317
964,370,1334
566,5,610
329,324,668
953,794,1747
774,828,1602
971,998,1969
204,679,883
400,979,1379
102,65,167
214,370,584
614,256,870
924,167,1091
720,356,1076
513,349,862
256,941,1197
542,643,1185
805,439,1244
356,800,1156
339,347,686
934,104,990
349,683,1032
198,984,1206
414,526,940
880,803,1683
505,664,1169
939,996,1935
382,597,979
127,465,592
401,982,1383
34,341,375
403,124,527
654,607,1261
749,567,1316
609,441,1050
783,838,1621
118,71,189
555,121,676
760,904,1664
664,556,1220
467,63,530
549,472,1021
781,513,1294
482,8,490
418,105,523
849,812,1661
180,633,813
269,150,419
790,514,1304
736,291,1027
931,295,1178
791,689,1480
362,812,1174
383,180,563
336,357,685
457,976,1433
203,936,1139
360,447,807
546,885,1401
629,56,685
33,999,1067
947,455,1402
695,533,1228
495,198,693
903,567,1470
632,261,893
182,409,591
394,310,704
953,968,1921
930,685,1615
894,131,1025
335,243,578
154,621,775
519,163,682
908,248,1156
588,262,850
797,689,1486
615,426,1072
349,630,979
973,851,1824
790,567,1357
97,149,246
51,488,539
737,147,884
833,464,1297
336,961,1297
980,378,1358
372,278,650
356,936,1292
831,333,1164
325,373,698
619,476,1069
597,174,771
928,362,1290
820,720,1540
554,326,880
760,6,766
396,728,1082
404,455,859
174,643,817
228,559,787
956,306,1262
218,742,960
828,227,1055
695,360,1055
881,94,975
659,528,1187
343,617,960
308,318,626
621,643,1264
367,956,1323
202,41,243
975,965,1940
650,567,1217
566,102,668
53,71,124
847,208,1055
34,992,1026
596,964,1560
965,371,1336
986,371,1357
358,276,634
147,617,764
319,969,1306
644,725,1369
113,479,592
892,928,1820
100,809,909
964,40,1004
712,205,917
177,253,430
796,645,1441
807,259,1066
211,494,705
512,456,1000
739,403,1142
631,267,933
695,426,1121
457,186,643
251,643,894
453,144,597
839,711,1550
942,625,1567
707,403,1110
377,133,510
84,229,313
188,427,615
76,259,335
56,24,80
606,324,930
169,594,763
572,558,1130
709,485,1194
941,204,1145
55,514,569
560,430,990
2,33,35
478,193,671
345,349,694
350,857,1207
961,556,1517
685,134,819
439,192,631
797,846,1643
622,151,759
658,744,1402
913,947,1860
797,785,1593
149,871,1020
350,999,1349
888,288,1176
501,662,1163
539,568,1107
961,488,1449
977,271,1248
539,913,1452
152,229,381
177,29,206
158,413,571
597,996,1593
69,418,487
258,232,490
684,908,1592
867,428,1295
169,987,1156
713,58,771
4,256,285
1000,980,1980
158,483,641
802,527,1329
436,232,668
796,80,876
135,338,473
335,352,687
952,283,1235
546,285,848
192,415,607
275,466,741
182,2,184
784,61,845
884,931,1822
276,901,1177
178,948,1126
904,321,1225
356,4,360
406,182,588
435,537,972
528,941,1469
317,478,795
457,865,1322
549,195,744
408,991,1399
74,82,156
111,826,937
375,656,1031
157,459,616
926,108,1034
937,335,1272
58,826,932
942,434,1376
198,853,1051
39,635,674
947,825,1772
25,612,637
841,923,1813
77,41,106
760,414,1174
479,787,1266
551,64,615
766,2,768
174,719,893
538,832,1370
51,96,147
473,570,1043
969,321,1293
988,496,1484
443,268,711
169,81,250
570,787,1357
33,595,628
614,763,1401
640,587,1227
630,917,1547
487,22,519
928,250,1178
449,936,1385
569,708,1277
610,339,949
718,577,1295
635,113,707
514,628,1142
101,865,966
42,728,770
790,96,899
316,471,792
612,486,1098
934,742,1676
159,870,1029
895,441,1336
948,622,1570
763,681,1444
352,575,927
287,248,535
517,904,1421
962,246,1208
125,969,1094
756,807,1563
122,438,560
190,497,687
923,201,1124
373,825,1220
499,65,564
845,242,1087
807,805,1612
874,697,1571
64,637,686
43,802,845
931,780,1711
216,860,1076
112,539,651
618,748,1366
4,291,295
101,595,696
485,294,779
901,907,1808
558,766,1324
788,218,962
30,246,276
600,788,1388
918,855,1773
676,478,1154
944,126,1070
766,99,865
435,831,1266
896,339,1235
999,779,1778
512,339,851
329,781,1110
180,313,539
888,295,1183
