X,Y,sum
706,996,1702
278,317,595
334,190,524
959,96,1055
585,850,1435
322,692,1014
30,779,809
143,486,629
602,237,839
767,838,1605
355,76,431
589,714,1303
847,111,958
4,613,617
610,257,867
395,372,767
519,552,1071
507,83,590
507,329,836
67,781,848
581,33,614
674,926,189
940,655,1595
923,97,1020
154,882,1036
579,930,1509
613,25,638
954,313,1267
970,948,1918
409,630,1039
61,924,985
724,138,862
753,591,1344
652,814,1466
522,711,1233
83,209,292
350,873,1223
115,422,537
183,691,874
663,138,801
243,897,1140
473,333,806
381,312,693
651,240,99
264,933,1197
144,618,480
547,757,1304
331,52,383
37,793,830
74,459,533
226,790,1016
532,588,1120
794,707,1501
972,337,701
627,179,806
126,869,995
570,485,1055
5,835,840
490,267,757
934,631,1565
771,784,1555
670,551,212
589,702,1291
988,481,1469
61,528,589
231,97,328
968,476,1444
682,231,913
923,659,1582
843,555,1398
534,969,1503
25,729,754
240,344,584
74,426,500
370,274,644
278,513,791
992,920,1912
358,579,937
329,214,543
183,979,1162
6,115,121
710,127,837
509,984,1493
28,272,300
759,413,1172
168,291,459
523,579,1102
261,530,791
530,69,599
635,522,1157
403,456,859
835,251,1086
929,148,1077
625,613,1238
343,369,712
721,284,1005
941,660,1601
462,965,1427
515,215,730
17,678,695
616,824,1440
187,312,499
952,835,1787
403,540,943
852,347,1199
169,75,244
709,792,1501
677,832,1509
854,817,1671
460,645,1105
297,757,1054
726,973,222
500,531,1031
465,306,771
494,694,1188
871,212,1083
840,821,1661
671,244,915
332,698,1030
254,6,260
605,809,1414
769,624,1393
141,302,443
784,933,1717
804,576,1380
531,1,532
863,121,776
925,464,1389
808,499,1307
962,900,1862
907,178,1085
734,341,1075
156,951,1107
230,13,243
599,224,823
200,316,516
788,826,1614
794,338,1132
914,946,1860
147,685,832
855,135,990
869,417,1286
300,942,1242
299,795,1094
985,515,1500
994,979,1973
108,199,307
359,98,457
642,473,1115
361,103,464
57,128,185
950,820,519
244,328,572
701,169,870
333,63,396
201,176,377
429,207,636
8,111,119
75,62,137
66,729,795
272,241,513
255,676,931
9,638,647
530,943,1473
253,949,1202
733,880,1613
912,198,1110
627,517,1144
789,910,1699
548,163,711
766,343,1109
891,641,1532
497,168,665
203,377,580
142,249,391
277,534,811
520,291,811
907,389,1296
883,390,1273
879,586,1465
993,89,1082
596,719,1315
719,151,870
656,886,1542
755,88,843
225,597,822
413,847,1260
780,290,1070
176,738,914
837,779,1616
699,701,1400
716,412,1128
630,662,1292
738,710,1448
413,637,1050
657,282,939
651,466,1117
642,375,1017
485,87,572
870,677,1547
787,628,1415
242,203,445
37,782,819
28,364,392
812,543,1355
237,542,779
938,379,589
746,583,1329
512,820,1332
704,683,1387
383,532,869
875,642,1517
989,948,1937
988,360,1348
340,186,526
705,561,1266
5,320,325
377,823,1200
388,247,635
902,897,1799
795,864,1659
340,146,486
843,86,929
361,522,883
253,573,88
611,815,1426
191,750,941
495,429,924
171,681,852
799,96,895
164,889,1053
628,79,707
850,946,1796
110,67,177
764,469,1233
469,220,689
781,893,813
787,669,1456
12,293,305
275,447,722
501,359,860
544,891,1435
237,568,325
427,994,1421
583,473,1056
13,363,376
162,683,845
661,685,1346
524,937,1461
899,154,1053
252,120,372
804,522,1326
576,389,965
682,254,64
241,684,925
294,459,753
455,827,1282
53,205,258
490,38,528
630,1000,1630
928,520,1448
744,856,1600
348,981,1329
685,508,1193
839,613,533
621,968,1589
987,794,1781
770,491,1261
525,914,1439
292,781,1073
317,372,689
841,191,1032
701,741,1442
106,807,913
126,392,518
915,278,1193
98,253,351
192,766,958
21,83,104
462,893,1355
11,339,350
116,413,529
95,226,321
155,681,836
569,788,1357
552,916,1468
740,146,886
377,939,1316
533,584,1117
201,55,256
507,135,642
809,166,975
157,674,831
797,782,1579
438,619,1057
703,582,1285
270,621,891
305,13,318
535,574,1109
899,303,1202
604,915,595
839,94,933
852,86,938
1000,582,1582
304,259,563
863,364,1227
577,198,775
24,37,61
262,233,495
544,788,1332
117,539,656
767,940,1707
285,118,403
41,750,791
100,178,278
598,789,1387
468,899,1367
172,613,780
267,201,468
527,620,1147
810,941,1751
850,731,1581
405,635,1040
452,345,797
950,287,1237
308,603,911
397,207,604
83,668,751
388,973,1361
54,126,180
154,737,891
692,724,1416
6,641,647
965,759,1724
916,895,1811
958,113,1071
496,732,1228
996,879,1875
788,490,1278
344,778,1122
405,867,1272
604,638,1242
738,401,1139
293,632,925
198,180,378
780,924,146
18,161,179
709,245,954
754,176,930
577,34,611
128,857,985
352,130,482
644,455,1099
193,801,994
511,789,1300
209,214,423
444,348,792
773,750,1523
857,560,1417
21,3,24
583,781,1364
995,621,1616
972,379,1351
806,483,1289
557,713,1270
181,551,229
258,692,950
342,28,370
758,588,1346
160,179,339
75,273,348
614,926,1540
236,325,561
172,535,707
967,856,1823
555,764,1319
997,915,1912
136,481,617
974,397,1371
742,519,1261
566,849,1415
791,69,860
765,323,1088
412,868,1280
145,37,182
190,977,1167
895,214,1109
778,39,817
0,11,11
149,281,430
244,146,390
534,201,735
25,963,988
771,434,1205
263,451,714
698,91,789
198,538,216
21,918,939
666,422,1088
445,13,458
85,136,221
340,585,925
657,293,999
551,500,1051
532,913,1445
698,318,1016
510,928,1438
134,289,423
104,81,185
513,490,559
20,487,507
367,998,1365
903,447,1350
547,23,570
710,508,1218
101,299,484
171,450,621
602,900,1502
725,626,220
196,214,410
67,399,466
282,315,597
746,326,1072
542,174,716
874,869,1743
224,70,294
683,260,943
945,100,1045
833,302,1135
600,347,947
198,64,262
290,319,609
287,179,466
559,981,1540
673,39,712
520,631,1151
557,450,1007
538,764,1302
626,132,737
998,353,1351
371,721,1092
416,4,420
704,744,1448
106,323,429
585,750,1335
415,209,624
819,253,1072
634,360,236
535,447,982
12,208,220
529,174,703
456,600,1056
882,641,1523
455,548,921
394,598,992
913,456,1369
374,744,1118
161,773,934
233,377,610
415,243,658
177,73,250
455,975,1430
798,985,1783
835,108,943
613,604,1217
968,745,1713
769,557,1326
549,143,692
468,32,500
573,71,644
315,372,687
845,600,1445
599,887,1486
278,924,670
101,440,541
535,916,1451
149,673,822
791,558,1349
17,342,359
318,459,777
663,504,253
394,62,456
146,733,879
717,308,1025
520,181,701
2,641,643
173,906,1079
744,683,1427
864,909,1773
660,77,737
201,550,30
31,883,914
447,972,1419
180,327,507
698,567,1265
254,483,737
705,233,938
515,40,555
167,339,391
926,470,1396
709,322,1031
327,818,1145
315,723,1038
611,751,1362
241,987,1228
772,496,1268
80,636,716
987,22,1009
774,501,1275
125,541,666
995,386,1381
83,831,358
910,696,1606
569,325,894
358,561,919
787,729,1516
208,773,981
186,264,450
307,818,1125
639,955,1594
748,110,858
449,425,874
247,322,569
973,890,285
96,586,682
716,212,928
604,659,1263
439,677,1116
402,654,1056
613,527,1140
802,600,1402
94,746,840
533,53,586
117,712,829
276,506,782
387,426,813
405,672,1077
797,665,1462
70,196,266
228,390,618
921,288,1209
37,400,437
136,812,948
937,437,1374
808,855,1663
442,910,1352
639,972,1611
224,619,843
120,776,896
213,922,1135
884,116,1000
865,848,1713
138,747,885
50,162,212
507,526,1033
116,619,735
839,732,1571
929,503,1432
946,244,1190
601,260,861
874,557,1431
363,157,520
685,352,1037
379,450,829
470,660,1130
440,707,1147
899,645,1544
553,248,801
518,29,547
540,475,1015
331,368,699
313,19,332
831,235,1066
845,293,1138
848,969,1817
56,50,106
908,517,1425
956,913,1869
358,130,488
257,272,529
943,825,1768
954,872,1826
729,924,1653
678,103,781
235,375,610
804,474,1278
474,775,1249
688,597,1285
691,932,1623
929,709,1638
357,363,720
775,365,739
454,427,881
962,348,1310
240,425,665
657,47,704
465,196,661
550,96,646
662,808,1470
168,448,616
532,80,612
245,856,1101
508,992,1500
42,279,321
409,829,1238
397,47,444
543,933,1476
777,975,1752
747,393,1140
102,713,815
402,67,469
622,896,1518
938,318,1256
940,628,1568
404,33,437
353,516,869
671,575,1246
891,378,1269
695,979,1674
987,214,1201
541,937,1478
832,200,1032
997,458,1455
122,99,221
420,482,902
696,425,1121
244,133,377
66,689,755
475,983,1458
272,694,966
581,223,804
434,247,681
416,810,1226
435,103,538
938,82,1020
60,87,147
177,959,1136
882,269,1151
59,798,857
475,254,729
732,38,770
689,651,1340
79,414,493
561,387,948
394,209,603
715,634,1349
400,227,645
524,594,1118
106,455,561
829,336,1165
33,178,211
421,699,1120
15,616,631
805,798,1603
12,71,809
746,589,1335
680,463,1143
130,248,378
969,388,1357
668,642,1310
958,158,1116
55,646,701
523,184,707
475,546,1021
920,131,1051
18,803,821
969,851,1820
94,952,390
469,105,574
258,577,835
932,385,1317
388,287,675
371,2,373
840,632,1472
436,231,667
662,815,1477
290,935,1225
708,249,957
871,896,1767
414,134,548
905,706,1611
385,177,562
102,419,521
896,0,896
660,361,1021
860,47,907
189,463,652
926,240,1166
937,361,1298
647,728,1375
348,878,1226
598,930,1528
686,93,779
62,507,569
44,125,169
929,374,1303
542,780,1322
843,553,1396
73,724,797
893,199,1092
481,134,615
374,804,1178
229,296,525
90,615,705
481,177,658
459,433,892
853,835,1688
132,63,195
155,609,764
542,704,1246
886,427,1313
682,31,713
528,232,760
685,866,1551
240,659,899
949,275,1224
825,275,1100
818,924,1742
779,59,562
94,929,1023
389,323,712
523,720,1243
648,733,1381
374,722,1096
842,31,873
833,75,908
916,35,497
886,816,1702
857,746,1603
242,467,709
243,344,587
336,494,830
249,633,882
790,532,1322
34,268,302
547,342,889
172,614,786
114,370,484
151,237,388
271,723,994
529,21,550
263,689,952
62,350,412
705,332,1037
722,39,761
353,441,794
468,69,537
986,986,1972
15,559,574
854,852,1706
838,468,1306
859,485,1344
594,12,606
337,148,485
673,443,1116
571,5,576
333,582,915
691,492,1183
950,883,1833
186,669,855
851,659,1510
578,471,396
660,778,1438
869,716,1585
208,699,907
783,760,1543
170,776,946
467,868,1335
257,981,1238
647,22,669
947,198,1145
776,114,890
185,473,658
74,994,1068
555,504,1059
290,328,618
181,870,1051
195,53,248
549,640,1189
766,268,1034
274,103,377
337,7,344
791,978,1769
157,294,451
667,399,1066
758,836,1594
855,247,1102
772,648,1420
632,311,943
93,157,250
589,123,712
580,715,715
172,836,1008
631,907,1538
954,670,1624
742,64,806
39,529,775
565,467,1032
975,650,1625
31,304,335
217,63,280
636,912,1548
122,832,393
387,84,471
143,507,650
342,426,768
697,816,1513
569,81,650
836,831,1667
639,673,1312
67,393,460
180,368,525
73,265,338
685,507,1192
958,614,1572
598,246,844
347,842,1189
273,32,305
636,892,1528
749,677,1426
706,900,1606
936,983,686
678,212,890
337,648,985
599,453,1052
682,725,1407
451,530,981
447,355,802
277,751,1028
21,82,103
193,20,311
404,526,930
138,775,913
800,281,1081
781,179,960
93,455,548
487,296,783
137,84,221
221,236,457
679,593,1272
615,1,616
740,499,1239
10,972,982
530,999,1529
765,134,899
603,673,1276
481,851,1332
174,70,244
565,149,714
749,660,1409
136,413,549
249,47,296
375,937,1312
572,252,824
664,176,840
981,239,1220
103,587,690
517,235,752
51,257,308
625,797,1422
762,151,913
3,62,65
390,873,1263
564,940,412
655,506,1161
178,152,330
446,97,543
357,529,886
880,347,1227
349,743,1092
300,150,450
656,188,844
978,632,1610
378,174,552
377,6,383
314,761,1075
234,625,859
595,564,1159
770,201,971
316,394,710
258,173,431
654,730,1384
933,248,1181
776,827,1603
559,521,1080
502,443,945
258,402,660
716,664,1380
577,964,1541
674,234,908
136,695,831
313,449,762
942,452,1394
81,216,297
615,826,1441
373,119,492
81,308,389
158,831,989
236,772,1008
447,855,1302
832,493,1325
596,719,1315
865,45,910
124,48,172
328,706,877
778,190,968
613,83,696
145,157,302
932,794,1726
762,131,893
387,73,460
174,265,439
792,104,896
491,322,813
169,76,245
854,73,927
82,587,669
921,731,1652
343,570,452
311,132,443
401,836,1237
701,24,725
853,870,1723
101,688,789
789,861,1650
293,568,861
969,376,1345
683,676,1359
462,437,899
592,314,906
675,762,1437
620,363,983
928,633,1561
65,323,388
619,421,1040
606,638,1244
40,717,757
515,508,1023
608,277,885
141,955,1096
9,143,152
212,930,1142
326,621,947
957,880,1837
389,30,419
395,805,1200
168,844,239
496,740,1236
153,458,611
342,927,1269
8,485,493
606,224,830
110,4,114
319,633,952
188,662,850
597,2,599
979,236,1215
404,350,754
489,483,972
63,471,534
84,174,258
79,142,221
592,877,1469
46,72,118
314,785,1099
459,393,852
583,10,593
706,146,852
966,48,1014
970,472,1442
395,964,1359
641,974,1615
30,488,518
808,617,1425
131,365,496
748,644,1392
876,795,1671
101,329,430
348,332,680
520,888,1408
440,424,864
406,163,569
993,767,1760
97,804,901
898,813,1711
732,723,1455
547,860,1407
282,818,1100
450,381,831
507,726,1233
91,22,113
949,265,1214
972,270,1242
584,826,1410
785,104,889
915,217,1132
728,614,1342
871,512,1383
305,297,602
260,773,1033
222,33,255
561,123,684
962,149,1111
728,70,798
483,331,814
648,435,1083
629,539,1168
850,620,1470
2,744,746
581,889,1470
267,863,1130
414,112,526
74,88,162
32,501,533
341,579,920
382,209,591
543,676,1219
330,608,938
974,704,1678
330,32,362
898,59,957
848,250,1098
118,867,985
16,80,96
404,379,783
436,301,737
620,801,1421
812,974,1786
57,572,629
306,382,688
628,774,1402
868,547,1415
941,505,1446
565,20,585
963,26,989
361,254,615
68,770,838
85,859,944
424,801,1225
357,662,1019
86,509,595
921,468,1389
204,667,871
839,539,1378
411,339,750
647,942,1589
330,688,1018
467,828,1295
720,322,1042
590,513,1103
545,233,778
27,631,658
301,653,954
486,987,1473
1000,798,1798
920,221,1141
98,689,787
132,891,1023
734,47,781
861,723,1584
810,447,1257
293,889,1182
466,852,1318
463,579,1042
703,862,1565
836,40,876
889,425,1314
124,80,204
168,612,780
700,997,1697
197,401,598
832,384,1216
270,717,987
286,382,668
435,170,605
771,295,1066
669,585,1254
641,206,847
820,848,1668
788,969,1757
130,985,1115
731,524,1255
362,835,1197
74,470,544
726,288,1014
204,910,1114
140,879,1019
902,346,1248
309,176,485
508,304,812
801,877,1678
417,338,755
309,12,321
300,357,657
334,953,1287
821,143,964
551,775,1326
912,75,987
264,237,501
89,595,684
168,453,621
470,206,676
851,691,1542
331,47,378
778,468,1246
836,924,1760
960,78,1038
822,879,1701
267,16,283
519,350,869
733,489,1222
824,959,1783
22,962,984
753,480,1233
568,14,582
467,544,1011
568,762,1330
478,21,499
255,255,273
131,121,252
847,213,1060
126,116,242
679,954,794
250,49,299
103,215,318
862,125,987
661,14,675
155,417,572
31,641,672
501,404,905
216,630,846
191,72,263
280,265,449
540,223,763
342,861,1203
138,3,141
315,93,408
473,565,1038
150,82,387
964,798,1762
719,309,1028
410,607,1017
478,919,1397
636,168,804
439,675,1114
359,652,1011
269,806,1075
574,674,665
498,855,1353
166,631,797
869,585,1454
503,167,670
21,434,421
110,145,255
825,923,1748
97,394,491
688,880,1568
577,397,389
567,306,873
983,397,1380
804,737,1541
124,71,195
387,293,680
471,978,1449
794,487,1281
637,459,1096
125,677,802
357,584,941
839,681,1520
592,250,842
462,436,898
615,529,1144
182,424,606
20,140,160
768,656,1424
955,48,1003
92,648,740
625,625,1250
526,622,1148
678,225,903
91,298,389
965,404,1369
473,809,1282
552,433,985
640,52,692
155,162,317
741,582,1323
31,553,584
598,657,1255
295,166,461
873,489,1362
676,233,909
81,875,956
830,721,1551
429,367,796
491,67,558
696,520,1216
125,913,1038
370,402,772
375,435,810
167,685,852
185,199,384
849,497,1346
652,865,1517
760,574,1334
845,795,1640
620,895,1515
141,215,356
276,812,1088
39,569,608
594,635,1229
269,344,613
767,827,1594
743,880,1623
674,209,883
945,28,973
930,657,414
713,565,1278
649,509,1158
240,999,1239
742,810,1552
216,176,392
547,549,973
614,230,844
978,473,1451
696,861,1557
87,585,672
6,92,98
461,445,906
92,767,859
172,741,913
902,410,1312
837,720,1557
194,345,539
930,85,1015
508,952,1460
135,663,798
727,206,933
156,20,176
530,394,924
370,492,862
811,454,1265
264,702,966
646,650,1296
952,332,1284
195,189,384
14,108,122
113,296,409
4,243,8
234,13,247
972,466,1438
656,726,1382
631,151,782
822,231,1053
798,460,1258
232,129,361
30,55,85
899,405,1304
398,949,1347
45,955,1000
783,637,1420
390,225,615
186,556,742
388,471,859
355,387,742
209,705,914
828,505,1333
524,657,541
77,852,929
33,558,591
40,1,41
837,182,1019
27,591,618
153,168,321
644,865,1509
133,559,259
285,811,1096
333,498,950
64,103,167
630,453,1083
391,43,434
651,389,1040
86,711,797
832,654,1486
124,852,976
979,69,1048
989,854,1843
845,899,1744
378,709,1087
201,748,949
306,141,447
977,280,1257
567,823,1390
893,105,998
969,113,1082
652,691,1343
47,422,76
526,952,1478
489,331,820
7,60,67
574,982,1556
672,934,1606
755,271,1026
672,548,1220
345,530,875
825,93,918
464,903,1367
950,282,1232
775,314,1089
169,371,540
753,122,875
742,228,970
264,454,718
841,157,998
5,415,420
205,432,637
1,108,109
968,563,1531
182,398,580
661,251,933
113,437,550
95,904,999
448,111,559
720,587,96
972,940,1912
786,873,1659
231,182,413
418,231,649
411,643,1054
57,438,495
861,721,1582
126,726,852
971,437,573
736,441,1177
595,864,1459
549,993,1542
394,268,662
69,241,310
854,877,1731
340,261,601
713,956,1669
534,835,1369
218,906,1124
300,323,623
145,30,175
340,452,792
706,688,1394
208,640,716
478,723,1201
265,142,407
844,731,1575
12,453,465
739,484,1223
268,766,1034
477,889,1366
788,640,1428
722,836,1558
697,870,1567
642,267,909
517,457,974
443,413,856
329,895,1224
228,793,1021
505,200,705
379,336,715
79,57,136
318,535,853
635,230,865
901,934,188
96,716,812
203,921,1124
486,169,655
453,727,1180
12,697,709
534,710,1244
535,118,653
53,458,511
949,987,1936
69,152,221
228,472,700
674,182,856
959,82,1041
709,361,1070
274,641,915
976,541,1517
318,587,905
361,630,991
188,412,600
311,884,1195
445,130,575
256,596,852
421,597,1018
546,699,1245
121,911,1032
958,699,1657
738,692,1430
552,932,1484
854,354,1208
209,653,636
620,241,861
193,13,206
800,770,1570
113,433,546
994,357,1351
500,228,728
347,636,983
755,842,1597
792,426,1218
856,53,909
881,694,1575
106,906,1012
78,468,546
184,75,259
551,901,1452
257,717,974
364,818,1182
994,27,1021
523,284,807
481,311,792
102,340,442
52,425,477
90,997,1087
176,851,1027
781,4,785
549,705,1254
691,443,1134
597,317,914
893,974,1867
409,111,520
945,91,430
119,413,532
324,940,1264
331,36,367
485,212,697
758,218,976
219,945,1164
538,442,980
316,545,861
844,742,1586
930,655,1585
929,221,1150
422,821,1243
296,361,657
837,695,957
402,568,970
54,606,660
455,89,544
147,434,188
920,856,1776
664,544,715
978,588,1566
452,769,1221
463,979,1442
447,199,807
25,833,858
217,139,356
279,362,641
263,255,518
488,311,799
551,730,1281
73,226,299
240,803,1043
146,466,612
151,143,294
870,403,1273
223,572,727
830,657,1487
67,825,892
711,290,1001
750,885,1635
850,401,1251
933,102,1035
434,474,908
571,860,1431
763,855,1618
543,658,1201
482,518,1000
507,171,678
185,265,450
866,137,1003
555,41,596
720,529,1249
609,532,1141
884,742,1626
656,661,1317
825,120,945
386,102,488
397,667,1064
127,681,919
59,97,156
99,480,579
616,703,1319
665,32,697
94,872,966
792,230,1022
651,135,786
318,193,511
679,28,707
356,890,1246
593,151,744
276,550,826
15,599,130
801,219,1020
802,931,1733
216,907,1123
387,903,1290
396,574,970
96,719,815
29,43,72
667,354,1021
182,851,864
533,319,852
561,77,638
495,737,1232
597,58,655
34,507,541
339,177,516
633,785,1418
986,315,1301
85,584,669
468,39,507
637,650,1287
495,361,856
120,837,957
285,631,916
624,270,894
507,773,1280
976,427,1403
769,465,1234
831,743,1574
197,852,1049
530,935,1465
242,395,637
868,446,1314
320,965,1285
762,103,750
974,717,1691
411,172,583
781,532,1313
564,886,1450
69,290,359
860,954,295
705,560,1265
448,90,538
995,392,1387
667,258,925
932,38,970
706,90,796
626,214,840
889,258,1147
767,638,1405
681,695,1376
513,740,1253
418,491,909
115,113,228
953,881,1834
903,231,1134
868,206,1074
450,803,1253
958,379,1337
412,273,685
298,164,462
716,38,754
500,940,1440
620,608,1228
966,48,1014
762,680,1442
705,740,1445
91,737,828
344,352,696
688,672,1360
303,453,756
435,424,859
185,755,940
113,59,172
93,166,259
193,955,1148
807,131,938
354,31,385
510,111,621
648,882,1530
865,265,1130
635,139,774
359,954,1313
108,552,660
726,802,1528
460,189,649
74,319,393
994,175,1169
187,310,497
50,274,324
924,238,1162
723,824,1547
960,646,1606
359,629,988
424,512,936
256,223,479
159,191,350
145,525,670
323,361,684
270,357,627
445,545,990
253,828,1081
31,457,488
915,54,969
740,579,1319
272,912,1184
79,400,721
982,591,836
449,525,974
647,606,1253
864,627,1491
985,403,1388
315,248,563
94,792,886
791,337,1128
761,607,1368
736,874,1610
915,811,1726
49,549,598
484,4,488
615,70,685
269,644,913
362,360,722
886,176,1062
332,246,578
361,305,666
59,75,134
915,127,1042
462,245,707
442,153,921
665,661,1326
799,753,1552
609,106,715
421,595,1016
152,45,16
65,284,349
395,73,468
829,844,1673
970,600,1570
591,749,1340
701,245,946
141,573,714
929,127,1056
893,896,488
672,375,1047
309,576,885
597,300,897
597,31,628
851,348,1199
46,86,132
509,585,1094
10,63,367
64,503,567
435,608,1043
193,444,637
995,123,1118
308,251,559
56,909,965
59,584,643
234,386,620
562,183,745
290,803,1093
28,580,608
211,477,688
996,337,1333
354,22,376
881,153,1034
561,301,862
955,247,1202
530,361,891
307,465,772
127,559,686
40,525,565
525,244,769
468,506,974
854,775,1629
129,648,777
722,444,1166
338,444,782
287,185,472
178,254,432
44,695,739
489,388,877
540,626,1166
489,825,1314
126,202,328
71,437,508
42,266,308
265,963,1228
930,558,1488
229,586,815
83,949,1032
1000,850,1850
844,544,1388
866,628,1494
425,164,589
572,924,1496
370,151,521
575,881,1456
46,135,181
909,305,1214
204,923,1127
652,917,1569
2,664,666
801,216,1017
699,762,1461
370,586,956
598,505,1103
769,360,1129
537,522,1059
443,671,1114
323,693,1016
210,462,672
448,456,904
464,708,1172
988,317,1305
414,941,1355
142,332,474
985,152,1137
571,913,1484
510,141,651
548,372,920
951,548,747
916,250,1166
165,720,885
909,514,1423
832,80,912
412,621,1033
986,479,1465
647,459,1106
155,480,635
223,849,1072
503,328,831
972,195,1167
448,192,640
659,356,1015
254,605,859
729,576,1305
435,569,373
598,650,1248
154,466,620
149,241,390
573,498,1071
918,151,1069
21,616,637
326,70,396
346,978,1324
1000,108,1108
524,901,1425
739,498,1237
585,276,861
638,665,1303
943,818,1761
380,145,525
308,130,438
950,828,1778
926,621,1547
478,784,1262
646,243,889
454,877,1331
452,739,1191
992,743,1735
821,310,1131
211,214,425
514,440,954
90,953,1043
338,920,890
700,708,1408
343,700,1043
572,844,1416
81,419,500
266,555,821
987,460,1447
594,740,1334
469,822,1291
800,824,1624
190,528,718
685,67,752
597,603,610
796,995,1791
868,20,888
411,815,1226
617,479,1096
996,223,1219
222,659,881
816,967,1783
756,452,1208
618,887,1505
427,953,1380
641,772,1413
72,210,282
78,425,503
96,896,992
34,791,825
535,263,798
865,826,1691
259,416,675
211,160,371
959,904,1863
587,940,1527
725,274,999
186,900,1086
916,79,995
730,159,889
399,243,642
972,951,1923
478,349,827
538,256,479
48,117,165
741,206,947
602,402,1004
753,416,1169
982,834,1816
987,718,1705
750,902,1652
363,399,762
65,366,431
454,555,1009
20,443,71
764,355,807
516,723,484
272,255,527
414,34,448
593,690,1283
662,49,711
334,189,523
618,626,1244
873,436,1309
680,95,775
397,758,1155
545,816,1361
953,128,1081
301,502,71
772,734,1506
821,228,1049
913,596,1509
67,432,992
600,5,605
656,278,934
878,331,1209
105,623,728
154,360,514
908,207,1115
863,402,1265
711,402,1113
728,256,984
157,237,394
481,720,1201
811,308,1119
792,545,1337
252,469,721
777,718,1495
225,504,729
237,751,988
821,562,806
401,234,635
190,814,1004
274,480,754
809,704,1513
700,95,795
239,475,714
278,357,635
755,716,1471
453,230,683
368,374,742
397,928,1325
686,599,1285
16,853,869
380,44,424
63,769,832
837,757,1594
958,562,1520
226,577,803
954,278,1232
959,607,1566
381,991,1372
980,107,1087
871,65,936
990,305,1295
171,703,874
703,361,459
218,732,950
161,421,582
521,392,913
582,705,1287
404,385,789
599,187,786
515,708,1223
339,715,1054
814,992,1806
709,200,909
977,178,1155
236,109,345
262,866,1128
454,652,1106
244,535,779
383,979,1362
