a,b,total
246,869,1115
878,724,1602
474,936,1410
422,991,1413
542,137,679
261,208,469
80,944,1024
379,94,473
849,195,1044
386,689,1075
40,894,934
823,779,1602
687,572,1259
213,890,1103
310,979,1289
216,959,1175
759,120,879
772,490,1262
712,618,1330
406,937,1343
329,794,1123
477,546,1023
315,267,582
903,509,1412
822,739,1561
859,327,1186
379,320,699
576,884,1460
149,16,165
957,598,1555
427,302,729
337,235,572
853,251,1104
670,966,1636
263,781,1044
989,740,1729
502,471,973
814,360,1174
737,559,1296
938,910,1848
657,980,1637
34,859,893
967,837,1804
782,6,788
862,645,1507
724,154,1035
466,382,848
653,682,1335
934,494,1428
16,6,22
421,12,1479
281,548,829
17,514,531
690,440,1130
931,183,1114
98,536,634
196,634,830
834,362,1196
406,80,486
415,470,885
713,231,944
847,868,1715
878,665,1543
95,415,510
565,487,1052
9,719,728
511,865,1376
803,339,1142
878,997,1875
540,941,432
922,888,1810
580,486,1066
946,76,1022
287,920,1207
673,33,706
870,322,424
601,147,748
729,840,1569
78,306,384
246,580,826
398,693,1091
339,393,732
143,809,952
741,80,821
997,354,1351
447,237,684
348,619,967
977,609,1586
792,334,559
802,461,1263
364,566,930
442,190,632
676,389,1065
633,302,935
730,75,805
157,389,546
649,157,806
324,369,693
5,965,970
368,779,1147
135,89,224
459,570,1029
417,105,724
567,95,662
803,332,1135
12,298,310
797,86,883
572,926,1498
248,585,833
701,389,1090
275,308,583
149,64,213
282,431,713
801,78,879
966,252,1218
507,608,1115
468,109,577
6,971,977
861,635,1496
882,337,1219
440,835,1275
666,997,1663
307,328,635
711,205,916
181,987,1168
326,298,624
648,502,1150
800,248,1048
287,836,1123
373,116,489
204,606,810
184,698,882
27,975,1002
965,725,1690
816,298,1114
70,838,908
814,418,1232
142,648,790
258,674,932
433,808,1241
459,612,1071
410,547,957
942,890,1832
556,37,593
368,718,1086
549,608,1157
87,111,198
673,680,1353
662,627,1321
693,662,1355
770,339,1109
440,108,529
227,522,749
571,594,1165
226,456,682
474,790,1264
707,512,1219
25,494,519
425,942,1367
118,851,969
145,356,501
466,803,1269
494,356,850
448,739,1187
326,68,394
829,727,1556
869,351,1220
693,819,1512
758,249,1007
565,163,728
436,981,1417
816,414,1230
190,655,845
405,29,434
904,202,1106
439,398,439
210,285,495
828,815,1643
104,818,922
191,374,565
468,116,584
883,501,1384
654,320,974
625,401,1026
356,360,716
632,176,808
722,819,1541
629,604,1233
137,320,457
312,119,431
710,144,854
428,610,1038
392,433,825
650,550,1200
660,953,1613
568,170,738
143,191,334
461,634,1095
367,974,279
199,834,1033
575,517,1092
418,701,1119
727,860,1587
171,84,255
814,779,1593
33,281,314
295,172,467
579,760,1339
507,562,1069
586,116,702
556,843,1399
555,842,1397
778,736,1514
223,435,658
849,669,1518
304,895,1199
460,269,729
836,89,925
120,794,914
214,830,1044
705,359,1064
624,647,1271
630,142,772
833,211,1044
583,359,942
611,551,1162
720,299,1019
273,975,1248
921,695,1616
138,985,1123
421,940,1361
283,887,1170
718,886,1604
149,728,877
253,779,1032
402,501,903
647,275,922
384,462,846
813,901,1714
412,527,939
711,958,1669
465,973,1438
595,2,597
867,750,1617
995,469,1464
714,366,1080
814,547,1361
991,439,1430
506,274,780
290,345,635
133,579,712
807,351,1158
780,49,1282
802,856,1658
127,951,1078
451,467,1962
438,207,645
931,135,1066
309,162,471
897,280,1177
369,256,625
680,925,1605
53,405,458
743,716,1459
439,671,1110
97,1,98
79,135,214
531,696,1227
8,712,720
123,880,1003
135,489,624
392,91,483
104,105,209
902,306,1208
792,832,1624
136,656,792
146,70,216
8,624,632
450,359,809
643,766,1409
421,630,1051
880,222,1102
102,143,245
603,747,1350
986,439,1425
143,253,396
86,254,340
614,738,1352
797,963,1760
868,867,1735
308,210,518
521,193,714
302,661,963
919,812,1731
506,395,901
511,653,1164
540,910,1450
369,956,1325
396,881,1277
430,374,804
176,781,957
788,74,138
14,268,282
944,61,1005
407,518,925
729,513,1242
433,718,1151
655,549,1204
156,284,440
80,523,603
997,827,1824
334,400,734
781,854,1635
658,67,725
447,747,1194
244,59,303
946,444,1390
626,623,1249
682,759,1441
179,122,281
718,11,729
975,355,1330
801,842,1643
170,380,550
799,894,1693
907,120,1027
30,343,373
278,536,814
729,998,1727
78,508,586
368,56,424
580,170,750
261,791,1052
587,690,1277
233,758,991
45,879,924
250,47,297
392,942,1334
953,983,1936
566,822,1388
758,671,1429
329,254,583
737,327,1064
79,585,664
514,689,1203
183,228,411
47,976,1023
898,476,1374
792,865,1657
88,566,654
377,205,582
803,311,1114
248,475,723
995,505,1500
794,200,994
559,778,1337
154,6,160
24,238,262
651,859,1510
9,973,982
777,673,1450
755,744,1499
210,542,752
429,503,932
995,145,1140
95,44,139
918,865,1783
717,917,1634
997,765,1762
97,517,614
839,403,1242
581,63,644
987,133,1120
267,871,1138
820,402,1222
753,334,1087
278,239,517
207,139,346
598,111,709
168,460,628
416,123,539
987,788,1775
315,474,789
122,92,214
702,311,1013
713,617,1711
877,335,1212
728,254,982
405,525,612
266,839,1105
31,974,1005
463,569,1032
255,96,351
823,812,1635
12,63,75
227,133,360
410,381,791
960,660,1620
600,265,865
76,22,98
202,924,1126
828,131,959
867,849,1716
125,43,168
51,172,223
443,841,1284
508,30,538
436,176,612
930,191,1121
456,904,1360
628,634,1262
662,302,964
903,563,1466
89,286,375
429,204,633
816,538,1354
821,556,1377
391,800,1191
491,557,1048
352,934,1286
329,397,726
26,326,352
30,917,947
287,59,346
483,542,1025
598,238,836
102,253,355
272,546,818
939,754,1693
970,224,1194
816,397,1213
859,865,1724
242,606,848
755,714,1469
605,28,633
360,970,1330
145,576,721
856,829,1685
504,555,1059
502,38,540
238,616,854
539,489,1879
628,206,834
348,734,1082
821,864,1685
60,22,82
721,939,1660
113,866,979
373,983,1356
721,964,1685
600,103,703
330,139,469
749,971,1720
654,983,1637
324,178,502
575,710,1285
628,805,1433
681,603,1284
387,314,701
301,130,431
1,971,972
586,400,986
789,988,1777
186,616,802
828,990,1818
654,579,1233
508,144,652
79,243,322
327,171,498
986,90,1076
686,654,1340
343,457,429
255,709,964
262,805,1067
1,49,50
750,429,1179
905,423,1328
387,359,746
103,848,951
884,591,1475
703,230,933
75,818,893
301,20,321
974,107,1081
174,909,1083
749,76,825
919,95,1014
628,914,1542
31,441,472
168,621,789
160,54,214
210,997,1207
713,567,1280
747,553,1300
288,304,592
50,402,452
860,502,1362
369,3,372
301,843,1144
614,491,1105
26,211,237
298,1000,1298
864,118,982
407,482,889
676,271,947
557,396,953
906,390,1296
456,45,501
476,269,745
275,577,852
770,713,1483
87,684,771
554,423,977
603,232,835
860,396,1256
428,988,1416
887,958,1845
902,241,1143
80,404,484
731,35,766
922,529,1451
693,635,1328
972,775,1747
971,171,1142
827,197,1024
433,80,513
445,206,651
642,151,793
264,327,591
936,826,1762
397,569,966
333,877,1210
469,939,1408
805,717,1522
535,800,1335
424,153,577
602,596,1198
962,102,1064
576,798,1374
292,888,1180
352,898,1250
392,670,1062
623,484,564
412,147,559
697,710,1407
405,910,1315
707,243,973
942,275,1217
20,345,365
310,318,628
503,878,1381
100,995,1095
137,307,444
453,792,1245
275,746,1021
661,91,752
216,935,1151
758,496,1254
888,382,1270
527,810,1337
318,726,1044
138,799,937
900,582,394
896,852,1748
59,255,103
940,369,1309
280,377,657
517,406,923
126,697,762
500,608,1108
983,891,1874
564,358,922
857,915,1772
850,705,1555
28,395,1748
585,798,1383
877,226,1103
693,211,904
419,525,1598
990,785,1775
485,933,1418
177,615,792
229,258,487
965,312,1277
726,658,1384
916,385,1301
470,258,728
309,693,1002
638,406,1044
7,523,530
989,863,1852
574,662,1236
289,305,594
493,65,558
283,655,938
283,267,550
975,913,1888
192,153,345
246,921,1167
877,821,1698
413,676,1089
143,738,1018
302,265,567
414,397,811
597,725,1322
835,194,1029
730,227,957
653,803,1456
963,687,1650
307,865,1172
673,897,1570
300,99,399
758,264,1022
572,781,1353
969,696,1665
670,91,761
228,762,990
430,807,1237
380,266,646
474,871,1345
54,887,941
594,966,1560
483,910,1393
122,888,1010
542,305,847
891,874,1765
205,350,555
583,914,1497
468,146,614
732,184,916
499,340,839
181,320,501
4,462,466
779,792,1571
782,162,944
781,798,1579
629,444,1073
413,439,852
392,4,408
748,382,1130
913,329,1242
543,195,8
641,751,1392
710,898,1608
132,105,237
602,313,915
843,46,889
297,466,763
610,536,1146
909,703,1612
350,923,1273
768,192,960
928,940,1868
19,233,252
134,216,350
603,516,1119
375,728,1103
38,384,422
261,789,1050
49,608,657
677,110,787
20,49,69
426,454,880
560,258,818
156,210,366
645,9,654
677,103,780
276,637,913
140,428,568
107,523,630
120,289,409
108,509,617
204,796,1000
535,996,1531
720,419,1139
40,561,601
212,704,916
338,240,1375
91,928,1019
587,685,1272
972,92,1064
76,740,816
926,262,1188
467,1000,1467
475,51,526
178,895,595
368,820,1188
436,756,1192
871,776,1647
9,872,881
662,174,836
915,448,1363
274,899,1173
381,834,1215
116,410,526
467,278,745
706,871,1577
431,664,1095
170,115,285
743,60,803
864,163,1027
933,604,1537
582,694,1276
625,388,1013
626,29,655
901,858,1759
913,133,1046
499,115,614
451,47,498
670,321,1778
694,537,1231
590,741,1331
978,685,1663
531,535,1066
633,97,730
744,254,998
679,692,1371
152,859,1011
913,627,1540
658,956,1614
869,480,1349
890,169,1059
503,328,831
993,284,1277
228,563,791
412,836,1248
470,454,924
458,90,548
457,323,780
509,763,1272
105,413,518
570,562,186
810,618,1428
652,311,963
575,211,786
467,973,1440
845,55,900
864,465,1329
785,634,1419
733,672,1405
463,116,579
674,227,727
849,648,1497
298,560,858
718,108,336
504,143,647
760,738,1498
260,625,885
123,952,1075
220,468,688
195,733,928
775,424,1296
857,688,1545
790,913,1703
674,603,1277
137,986,1123
543,753,1915
443,858,1301
946,520,1466
932,181,1113
177,748,925
106,396,502
620,903,1523
902,393,1295
623,937,1560
254,280,534
351,993,1344
824,136,960
616,716,1332
524,306,830
560,881,1441
754,957,1711
222,205,427
731,297,1028
943,688,1631
727,665,1392
182,515,697
652,330,982
779,360,1139
596,584,1180
727,427,1154
915,861,1776
898,867,1765
13,535,548
390,148,538
57,204,261
804,164,968
699,256,955
63,707,770
208,771,979
367,833,1200
630,888,1518
575,885,1460
662,574,1236
523,803,1326
712,294,1006
48,948,996
426,979,1405
701,320,1021
55,13,68
207,635,842
881,891,1772
230,933,1163
726,663,1389
602,559,1161
201,794,995
198,301,499
699,76,775
177,752,929
386,41,427
569,270,839
598,866,1464
338,477,815
158,40,198
330,611,941
954,640,1594
677,308,985
586,563,1149
802,724,1526
225,979,1204
69,805,874
425,556,981
94,357,451
218,679,897
369,300,669
770,633,1403
574,843,1417
664,9,673
354,456,810
657,628,1285
249,981,1813
328,390,718
967,116,1083
553,741,1294
933,529,1462
383,526,909
456,498,1839
667,197,864
84,970,1054
994,979,1973
546,7,553
215,686,901
218,885,1103
855,106,961
848,719,1567
759,793,1552
836,962,1798
702,157,1468
339,38,377
55,182,237
571,72,643
233,932,1165
397,461,858
443,323,1378
121,547,1475
633,64,697
599,46,645
74,366,440
108,296,404
308,621,929
783,948,1731
404,841,1245
485,160,645
139,764,903
816,869,1685
983,649,1632
693,908,1601
814,887,1701
382,980,1362
566,895,1461
126,42,1221
403,550,953
87,312,399
759,925,1684
216,422,638
871,524,1395
188,226,414
258,198,456
687,818,1505
55,871,926
562,472,1034
74,297,371
256,100,356
594,498,1092
365,131,496
240,102,342
71,921,992
497,461,958
675,313,988
156,579,735
827,323,1150
172,4,176
804,226,1030
656,446,1102
368,137,505
339,898,1237
456,367,823
498,564,1062
661,621,1282
287,879,1166
912,551,1463
751,907,1658
744,77,821
869,519,1388
832,595,1427
787,604,1391
37,564,601
915,552,1467
793,152,945
228,912,1140
750,877,1627
475,513,988
406,372,778
678,244,922
825,628,1453
775,526,1301
163,183,346
579,675,1254
149,753,902
961,367,1559
499,237,736
378,239,423
530,929,1459
397,480,877
902,47,1328
331,105,436
533,648,1181
854,759,1613
557,583,1140
669,387,1056
669,919,1588
529,257,786
929,228,1157
361,836,1197
498,811,1309
618,6,624
142,450,592
78,526,604
216,153,369
370,616,986
121,676,797
830,338,1168
493,691,1184
215,604,819
853,420,88
130,587,717
137,644,781
912,586,1498
170,264,434
529,981,1510
992,577,1569
899,736,1635
841,290,1131
221,459,680
482,888,1370
224,850,1074
146,813,959
785,186,971
523,270,793
702,350,1052
610,604,1214
387,394,781
16,207,223
931,516,1447
846,153,999
181,487,668
614,39,653
544,515,1059
95,493,588
923,617,1540
1,918,919
694,664,1358
430,379,809
714,542,1256
960,821,1781
787,390,1177
823,759,1582
857,713,1570
435,137,572
784,238,1022
85,290,375
556,418,974
5,726,731
7,591,598
532,7,539
210,704,914
418,370,788
436,667,1103
267,875,1142
578,374,952
696,406,1102
423,565,988
494,183,677
568,495,1063
314,591,905
722,407,1129
875,884,1759
765,235,1000
716,972,1688
219,520,739
346,820,1166
713,700,1413
164,398,562
5,823,828
148,482,630
445,90,535
227,379,606
38,741,779
410,628,1038
293,728,1021
58,968,1026
179,655,834
10,206,216
953,823,1776
199,34,233
522,528,1050
629,173,802
368,244,612
999,161,1160
282,798,1080
685,404,1089
205,530,1441
70,941,1011
291,743,1034
936,596,1532
986,835,1821
620,986,1606
952,413,1365
267,179,446
109,572,681
301,348,649
822,525,1347
897,550,1447
588,256,844
989,386,1375
788,249,1037
984,794,1778
471,918,1389
28,493,521
69,391,460
225,693,918
819,323,1142
361,528,889
717,852,1569
294,95,389
766,840,1606
567,953,1520
321,362,683
587,275,862
764,699,1463
194,510,704
240,753,993
271,211,482
854,255,1109
364,159,523
122,942,1064
978,679,1657
6,782,788
980,43,1023
380,635,1015
919,902,1821
889,281,1170
782,937,1719
407,227,634
131,55,186
433,489,922
33,514,547
881,702,1583
468,999,1467
530,471,1001
8,12,20
388,594,982
370,627,997
191,561,752
275,482,757
351,374,725
434,215,649
770,381,1151
410,286,696
585,134,719
702,234,936
738,276,1014
568,442,1010
200,149,349
756,153,909
9,180,189
137,914,1051
529,546,1075
804,498,1302
575,879,1454
407,101,508
61,220,281
487,859,1346
460,762,1222
369,368,737
954,829,1783
20,421,441
888,695,1583
203,590,793
664,551,1215
799,291,1090
689,522,1211
754,457,1211
390,628,1018
646,979,1625
171,655,826
345,431,776
585,414,999
73,81,154
233,321,554
298,727,1025
660,404,1064
455,799,1254
371,765,1136
988,461,1449
188,874,1490
240,677,917
761,717,1478
215,170,385
97,65,162
484,561,1045
789,406,1195
85,106,191
159,86,245
906,399,1305
253,755,1008
641,129,770
858,174,1358
365,881,1246
884,487,1371
891,553,1444
561,455,1016
971,714,1685
605,611,1216
766,651,1417
445,536,981
546,317,863
493,552,1045
91,452,543
422,266,688
10,0,10
776,868,1644
293,480,773
704,944,1648
773,488,1261
784,440,1224
611,236,847
561,382,943
903,574,1477
255,167,422
661,399,1060
225,269,494
640,245,885
819,931,1750
710,701,1411
664,760,1424
275,422,697
70,186,256
113,652,765
