a,b,c
153,634,787
823,682,1505
246,838,1532
492,647,1692
39,528,567
167,333,500
185,886,1071
208,706,914
826,831,1657
680,380,1060
83,249,-250
740,497,1237
815,58,873
762,811,1573
880,939,1819
478,362,840
508,117,625
620,978,1598
326,755,1081
410,795,1205
858,442,1300
166,637,803
209,781,990
443,560,1003
480,143,623
487,303,790
95,350,445
690,912,1602
941,575,1516
427,411,838
480,868,579
643,681,1324
688,272,960
929,365,1294
38,912,950
639,242,881
23,193,216
91,211,302
343,37,798
203,524,727
268,39,507
93,89,182
105,369,474
263,976,1239
165,521,686
434,940,1611
515,718,751
237,625,862
988,119,1107
426,251,677
531,25,556
201,187,388
837,161,998
332,179,511
339,262,601
646,659,1305
103,327,430
726,775,1501
422,417,839
120,377,1021
733,365,1098
221,390,611
148,708,1473
146,895,1041
581,636,1217
639,484,1123
43,742,785
760,635,1395
319,452,771
354,219,573
269,912,1181
233,609,842
524,207,731
962,454,1416
112,954,1066
5,189,194
473,753,1907
678,285,963
964,20,984
825,794,1619
183,243,426
207,876,1083
462,885,1347
857,974,1831
803,337,1140
981,87,1068
184,947,1131
2,157,-177
377,85,462
942,180,1122
909,777,1686
10,866,876
648,171,819
513,733,1459
679,130,809
170,491,661
724,89,813
45,786,831
129,817,946
563,256,819
521,355,876
198,513,711
918,529,1447
392,525,917
294,597,544
761,102,300
808,243,1051
463,904,1367
883,906,1789
988,176,1164
825,725,1550
821,63,520
202,215,417
878,291,1169
277,459,736
858,629,1487
470,804,1274
191,548,739
221,775,996
214,141,1154
951,160,1111
724,219,943
398,319,717
835,752,1587
636,240,876
444,746,1190
297,943,1240
799,170,969
106,349,455
677,157,834
121,585,706
750,132,882
268,201,469
239,245,484
373,647,1020
735,240,1740
279,651,930
825,431,1256
375,438,813
657,747,1404
50,796,846
344,856,1200
900,495,1395
429,162,591
354,464,818
893,493,1386
158,70,974
653,632,1285
328,177,25
165,122,287
736,835,1571
524,229,753
186,358,544
303,594,897
350,916,960
467,486,953
479,603,1082
540,867,1407
70,25,95
224,108,332
972,339,1311
678,995,1673
119,457,576
18,200,218
104,448,552
241,274,515
359,690,1049
679,294,973
469,152,621
505,166,671
755,789,1544
756,856,1078
600,887,1487
834,263,1097
334,39,373
736,681,1417
425,507,932
878,33,1537
162,359,521
748,572,1320
673,68,741
171,658,829
598,325,923
637,597,1234
378,24,402
470,106,576
957,293,1250
222,332,554
120,931,1051
235,489,415
369,869,619
957,21,978
790,832,1622
232,729,961
944,95,1039
274,161,435
695,633,1328
922,452,1374
801,740,1541
41,731,772
951,441,1392
168,766,934
98,422,520
637,104,741
880,511,1391
479,86,565
809,832,1641
135,634,769
207,500,707
273,346,619
101,557,658
264,632,1379
863,274,1137
44,783,827
76,597,673
52,623,675
982,983,1965
253,852,1660
543,93,636
618,109,727
479,854,1333
466,630,1096
847,607,1454
755,290,1045
479,688,1167
971,934,1905
120,141,261
324,533,857
44,651,695
745,211,956
241,363,604
782,622,1404
468,912,1380
996,231,433
598,576,1174
97,65,162
379,168,547
494,721,1215
714,72,786
794,827,1621
149,665,814
120,779,899
840,853,1693
96,227,323
488,592,1722
446,383,829
757,145,902
114,707,821
813,149,962
950,67,1017
391,210,601
845,89,598
670,299,493
91,257,348
814,554,1368
737,622,1359
934,68,1002
84,764,848
799,312,1111
582,413,995
277,472,749
416,511,927
213,148,361
149,678,827
248,567,815
423,480,464
286,591,877
239,884,1123
836,646,1482
60,572,632
3,853,1390
569,739,1308
639,337,976
532,830,1362
601,121,722
603,781,1384
662,246,908
655,562,1217
140,466,606
761,89,850
713,914,1159
349,254,603
632,647,1279
740,536,1276
100,37,137
505,992,1497
10,364,374
94,969,1063
131,869,1000
63,159,222
24,828,1217
33,558,591
952,716,1668
918,711,1629
680,855,1535
494,218,712
701,307,292
704,127,157
87,703,790
664,741,1405
805,590,1395
757,655,1412
955,641,1596
338,259,597
238,139,377
798,836,1634
19,291,34
449,147,1190
741,110,851
960,641,1601
615,755,1370
251,812,1063
557,204,761
548,914,1462
185,710,895
236,556,792
796,475,1271
697,804,1501
900,141,1041
472,331,803
322,345,667
524,314,838
707,717,1424
695,329,1024
212,733,647
38,609,647
156,745,901
981,691,1672
18,363,381
373,562,935
169,925,1094
889,128,1017
505,216,721
318,201,519
766,386,1152
313,180,493
217,500,717
197,493,-44
219,510,1058
869,949,1818
487,600,1087
24,702,726
401,159,560
562,984,1546
161,701,862
637,513,1669
427,115,542
914,224,1138
25,749,774
10,647,657
230,962,1479
633,750,1383
286,889,1175
33,238,271
179,152,-185
619,312,931
945,999,1944
468,624,1092
28,312,340
206,717,923
760,41,801
822,104,926
615,420,1035
283,304,587
504,696,1200
55,2,57
23,409,432
503,246,749
676,387,1063
615,237,852
797,601,1398
252,86,338
365,668,1033
149,409,558
314,770,1084
337,85,422
112,95,207
813,406,718
708,584,1292
849,491,1340
481,647,1128
143,497,640
351,997,1348
998,85,1083
990,997,1987
778,656,1434
934,906,1840
864,218,1082
718,871,1589
484,593,1077
659,400,1059
138,143,281
200,793,993
140,915,1055
816,10,826
412,722,1134
16,301,317
338,615,953
629,782,1411
200,652,1265
609,86,695
391,886,1277
22,158,180
900,34,934
767,339,371
625,279,904
153,55,208
884,723,1607
129,521,650
16,231,247
232,476,1009
205,504,999
662,676,1338
129,210,339
75,397,472
981,507,1488
402,129,531
963,823,1786
297,829,1126
160,906,1066
755,182,1549
482,412,894
814,242,1056
28,641,669
371,746,1117
398,362,760
228,916,1144
801,893,1694
13,10,23
986,91,1077
434,357,0
273,325,598
928,264,1192
848,661,1509
165,547,712
98,61,159
583,674,1257
288,233,521
824,546,1370
987,854,1841
511,645,1156
146,630,776
55,779,834
621,826,1447
106,811,248
187,445,632
381,213,594
900,858,1758
258,55,1029
660,308,1404
903,635,1538
464,564,1028
267,472,1246
867,760,1627
406,432,838
551,518,1069
352,126,478
516,859,1375
288,809,1097
812,899,1711
403,237,922
543,108,651
612,943,1555
784,717,1501
138,597,735
584,290,874
67,245,312
891,637,1528
736,910,1646
729,117,846
838,157,995
21,172,193
1,867,868
62,82,-608
158,427,1018
581,14,595
322,416,738
124,915,1039
582,60,642
567,420,987
587,905,915
235,308,543
193,279,472
470,23,493
248,322,570
975,352,1327
587,668,1255
877,494,1371
11,376,387
403,527,930
138,796,934
480,65,545
45,9,54
699,137,836
811,280,1091
161,781,942
409,168,577
656,205,861
642,635,1277
147,533,680
806,817,2371
392,916,1308
310,28,338
290,823,1113
733,677,1410
175,492,667
204,383,587
959,89,1048
125,161,286
807,264,1071
529,351,880
432,547,979
711,286,997
795,384,1179
706,22,9
32,634,666
35,341,376
121,459,580
414,331,745
494,629,1123
403,245,648
968,232,1200
300,898,1198
877,324,1201
256,229,485
307,956,1263
586,378,964
761,40,801
878,18,896
615,429,1044
80,817,897
512,752,1264
582,850,1432
87,264,351
71,177,248
574,818,1392
196,53,249
357,553,910
802,673,1475
940,868,1808
809,459,1268
704,662,1366
138,575,713
955,349,1304
441,433,874
206,531,1155
587,180,767
836,944,1780
749,894,1643
181,367,199
683,364,1047
237,730,967
593,6,599
514,974,1488
946,373,1319
743,235,978
448,810,1258
606,248,854
518,850,1368
570,139,709
973,654,1627
505,167,672
344,858,1202
991,354,1345
448,61,509
244,564,808
291,978,1269
354,124,478
645,700,1345
806,3,587
690,32,722
524,94,618
213,600,813
874,160,1034
582,603,1185
925,128,594
730,169,899
833,282,1115
94,560,654
795,793,1040
972,758,1730
829,117,946
564,992,1556
914,432,1346
61,82,143
223,289,512
914,660,1574
81,374,455
739,696,1435
372,20,392
276,453,729
421,515,936
252,393,645
835,675,1235
755,513,1268
510,505,1015
497,28,525
586,686,1272
861,901,1762
360,199,559
495,333,828
320,322,642
158,289,447
35,953,988
600,193,793
420,446,866
297,373,1464
273,222,495
160,105,265
953,286,1239
784,827,1611
607,93,700
97,23,120
828,395,1223
779,328,1107
295,772,1067
127,316,443
578,392,970
679,300,979
308,694,1002
612,628,1240
90,670,760
376,457,833
604,25,629
9,445,454
10,584,594
556,709,1265
748,53,801
87,440,527
428,675,1103
490,368,858
397,542,939
826,450,1276
475,419,894
561,196,757
517,31,548
243,347,590
419,37,456
687,784,1471
776,223,999
778,487,1265
481,166,647
27,150,177
233,968,1201
185,119,304
556,109,665
485,215,700
366,119,485
398,251,649
847,868,1715
950,370,2017
207,599,806
395,20,415
813,411,1224
245,907,1152
496,820,1316
870,255,1125
356,295,651
371,578,949
370,751,882
284,202,486
33,32,65
560,724,1284
340,470,810
212,549,761
810,951,1761
479,669,1148
959,345,1304
688,681,1369
722,702,1424
189,489,678
220,80,300
377,214,591
943,30,973
276,73,349
632,223,855
843,916,1759
663,231,894
539,963,1502
618,371,989
646,249,895
95,718,813
408,315,723
483,125,-140
508,715,1223
742,851,1593
371,579,950
416,936,1352
443,991,1434
531,737,1268
5,185,-480
226,911,1137
725,719,1444
816,678,1494
337,972,1309
109,959,1399
189,646,835
774,263,1037
104,908,1012
118,105,223
556,261,817
982,925,1907
786,55,841
790,580,1370
189,641,830
848,587,1435
910,921,1831
262,30,911
792,660,1452
984,414,1398
512,405,917
191,163,354
382,120,502
959,654,1613
646,693,1339
715,321,1036
149,739,888
354,597,951
290,313,15
968,859,1827
775,382,1157
13,88,101
154,948,1102
64,784,286
99,886,985
156,835,991
181,368,334
489,658,1147
3,509,512
435,832,1267
821,468,1289
386,184,570
335,980,1315
383,493,876
516,547,1063
6,336,342
358,863,1221
150,785,935
534,966,1500
632,274,906
865,390,1255
342,925,1267
884,252,1136
233,235,468
74,797,871
112,326,438
292,184,476
950,22,972
194,911,1105
70,265,335
208,607,815
229,829,1682
901,782,1683
824,8,832
414,208,622
865,542,1407
529,849,1378
101,263,364
139,469,608
467,634,1101
298,941,1239
909,5,914
702,332,1034
31,327,358
4,575,579
289,694,983
365,68,433
527,134,661
422,700,1122
