A,B,C
250,287,537
748,730,1478
319,500,819
819,236,1055
765,261,1026
471,264,735
762,537,1290
846,950,1796
810,66,876
375,72,435
993,734,1727
794,470,1264
79,721,800
964,427,1383
640,938,1578
836,818,1654
856,827,1683
676,680,1356
666,554,1220
481,407,888
767,840,1607
795,347,1142
87,228,334
189,693,882
723,396,1119
804,792,1596
575,523,1098
590,802,1392
715,410,1125
597,123,720
77,844,921
924,963,1894
527,677,1204
685,366,1051
47,333,380
278,230,508
410,665,1075
611,394,1005
75,440,515
170,178,348
692,795,1487
176,759,935
243,343,578
237,811,1048
496,127,623
99,186,285
507,99,621
116,351,455
459,302,761
848,562,1410
194,636,817
374,717,1091
613,54,667
535,453,988
13,161,174
683,939,1622
675,338,1013
867,558,1425
260,151,411
181,630,811
780,887,1667
392,238,630
768,517,1285
457,365,822
639,500,1143
202,383,585
668,675,1343
855,942,1797
339,970,1309
801,907,1723
98,832,930
507,1,508
432,884,1316
108,149,257
845,839,1684
828,462,1290
591,889,1480
759,852,1611
241,29,270
132,351,483
633,174,798
561,605,1166
218,631,849
828,98,926
220,598,826
325,558,883
639,883,1522
406,789,1195
865,31,896
229,282,511
550,819,1369
655,570,1225
693,932,1625
522,121,643
212,477,689
353,890,1243
309,935,1234
509,735,1244
943,595,1538
24,651,675
805,897,1702
517,726,1243
529,768,1297
652,664,1316
563,955,1518
627,235,866
704,957,1661
820,698,1518
702,873,1575
486,953,1439
86,256,362
536,13,558
66,672,738
457,832,1289
187,767,954
293,607,900
577,238,815
115,870,985
129,770,899
894,700,1577
744,33,777
735,180,915
881,882,1763
388,766,1154
456,494,950
610,340,950
746,659,1405
117,487,604
394,370,764
456,199,655
398,376,774
436,92,528
472,593,1065
68,909,977
1000,475,1475
739,498,1237
974,993,1967
974,943,1917
737,21,758
885,122,1007
214,315,529
123,655,778
669,404,1073
10,32,42
106,815,921
738,376,1102
858,242,1100
481,307,788
291,945,1226
992,292,1284
875,59,934
541,336,877
518,373,891
727,750,1477
991,301,1292
625,375,1000
230,27,257
567,896,1463
583,641,1224
114,859,973
824,834,1658
419,863,1282
457,461,918
567,463,1030
905,247,1152
330,988,1318
317,673,990
976,283,1259
58,868,926
583,115,693
592,391,983
118,965,1083
118,903,1021
507,860,1367
939,462,1401
558,831,1389
586,945,1548
534,888,1422
913,974,1887
393,480,873
681,532,1227
835,908,1743
16,214,230
112,496,608
459,774,1233
585,448,1033
116,700,816
932,311,1234
107,495,602
433,898,1315
204,92,296
280,897,1177
181,470,651
480,900,1365
198,147,345
676,34,710
45,415,460
964,104,1072
596,880,1476
964,155,1119
454,46,500
198,650,848
390,713,1103
670,569,1239
575,962,1537
520,158,678
771,331,1102
127,921,1048
390,71,461
120,406,526
135,118,253
17,455,472
221,967,1188
162,734,896
296,107,403
302,974,1276
591,846,1437
920,961,1881
67,821,888
317,127,444
678,689,1376
263,366,629
919,856,1775
407,427,834
191,312,503
443,71,514
58,808,866
939,583,1522
799,747,1559
625,128,753
241,732,973
698,95,793
550,901,1451
834,665,1499
301,528,829
640,947,1587
162,603,765
858,879,1737
864,259,1135
916,557,1473
523,694,1217
63,307,370
494,330,824
14,743,757
46,216,262
393,812,1205
250,579,829
436,29,465
94,196,290
41,988,1029
100,769,869
302,718,1025
2,36,38
581,588,1169
3,589,592
448,556,1004
850,452,1302
641,748,1389
785,515,1300
973,947,1920
619,543,1162
814,220,1028
629,528,1157
804,829,1633
466,573,1039
578,583,1161
448,897,1345
734,111,845
405,176,581
118,503,604
659,720,1379
264,158,422
479,571,1050
358,51,409
606,225,831
221,63,284
937,388,1325
121,338,459
810,878,1688
285,974,1259
554,174,728
214,287,501
620,65,685
580,814,1394
112,894,1006
950,339,1289
617,5,622
503,332,835
470,434,904
804,56,860
354,665,1036
729,146,858
169,975,1144
794,363,1157
580,962,1542
692,687,1379
342,401,743
295,760,1055
262,501,763
751,976,1727
794,878,1672
229,566,795
365,44,390
541,104,645
155,840,985
586,927,1513
5,92,97
631,391,1022
927,112,1039
973,202,1175
290,276,566
584,659,1262
935,789,1724
320,242,562
267,110,377
214,319,533
632,6,641
329,136,469
35,683,718
564,528,1092
408,293,701
874,977,1851
766,96,850
452,361,813
142,780,922
597,202,799
321,7,328
375,885,1260
856,799,1655
50,212,262
255,296,545
314,259,573
941,673,1614
967,710,1677
58,344,414
622,54,676
816,251,1067
614,435,1049
130,378,508
301,266,567
278,106,384
281,758,1039
268,672,940
132,270,402
700,839,1539
241,923,1164
715,247,962
316,503,819
42,213,255
593,210,803
378,674,1052
285,859,1144
394,900,1294
610,981,1591
954,220,1174
158,685,832
277,494,777
868,820,1688
188,262,450
232,736,968
698,960,1658
633,549,1182
339,880,1219
858,701,1559
949,791,1740
772,894,1666
383,170,553
762,730,1481
708,197,905
968,342,1310
779,154,933
684,137,821
71,181,252
659,108,752
238,580,818
646,24,670
408,79,487
596,145,741
200,667,882
437,114,551
509,572,1085
755,778,1533
740,325,1065
468,360,828
143,656,799
557,887,1444
301,401,702
412,347,759
708,389,1097
716,206,918
922,439,1361
309,560,869
326,909,1235
577,67,644
68,879,947
839,611,1450
599,459,1058
868,395,1263
467,346,813
7,732,739
579,641,1220
552,459,1011
47,305,352
954,116,1070
684,685,1369
818,373,1191
892,955,1847
324,13,337
316,258,574
764,324,1070
118,494,612
640,578,1218
785,713,1498
526,972,1498
536,761,1295
901,791,1692
906,154,1060
502,779,1281
216,74,290
202,766,968
800,186,986
234,471,705
251,370,616
717,679,1396
307,660,967
553,674,1210
589,471,1068
672,681,1353
531,910,1441
420,266,686
568,183,751
873,330,1203
65,213,278
26,332,358
594,313,907
790,161,951
248,712,960
318,987,1305
156,906,1062
379,912,1291
267,787,1054
96,866,962
442,581,1023
688,430,1111
554,58,612
461,240,715
851,629,1475
982,865,1847
462,959,1421
987,25,1012
736,479,1215
398,562,960
958,781,1739
102,302,404
451,133,584
136,218,354
158,217,375
778,55,833
66,289,355
418,629,1047
256,395,651
29,152,181
452,344,796
341,714,1055
124,403,527
120,519,639
733,918,1649
561,961,1536
994,594,1588
332,990,1322
753,33,778
567,695,1262
126,187,313
614,803,1417
31,869,900
135,479,614
734,746,1469
928,213,1141
724,71,795
552,543,1095
4,253,256
103,394,497
240,638,878
796,759,1555
688,425,1125
250,987,1237
403,353,756
972,332,1304
249,51,300
514,536,1050
693,896,1589
794,105,899
562,645,1207
139,365,520
747,90,837
89,78,167
681,899,1580
46,606,652
114,570,665
194,415,609
300,274,574
987,343,1330
363,908,1271
651,739,1390
698,5,703
354,37,391
448,27,475
977,415,1392
167,476,643
812,136,948
242,875,1117
230,132,362
963,91,1054
578,927,1505
475,165,640
336,233,569
306,32,338
282,435,717
951,997,1948
9,238,247
282,516,798
840,874,1714
918,796,1714
422,892,1314
264,763,1027
837,891,1728
805,304,1109
356,455,829
613,400,1013
561,150,711
344,759,1103
454,231,685
400,687,1087
893,459,1352
456,443,899
498,902,1400
764,782,1546
493,812,1305
290,754,1044
502,843,1362
352,870,1222
450,440,890
149,759,908
557,499,1056
248,631,879
92,454,546
480,575,1055
767,522,1289
893,96,989
622,476,1098
329,530,859
807,643,1450
827,764,1591
440,735,1175
62,324,366
597,915,1512
190,755,945
233,955,1188
471,398,869
265,297,562
386,421,807
495,889,1384
507,741,1248
972,957,1929
331,386,717
629,493,1122
667,458,1125
343,568,911
586,201,787
840,723,1563
159,644,803
567,415,982
912,605,1517
805,669,1474
291,995,1286
914,133,1047
755,399,1154
281,937,1218
909,524,1433
288,646,934
794,475,1269
376,871,1247
651,681,1332
961,987,1948
869,23,892
318,562,880
599,494,1093
232,18,250
409,801,1210
293,103,396
951,718,1669
820,83,903
322,66,388
289,979,1268
283,675,958
15,545,560
728,292,1020
627,731,1358
480,516,996
236,148,384
31,329,374
233,791,1024
582,29,611
273,158,431
1000,777,1777
153,274,427
461,46,507
636,699,1335
622,208,830
165,347,497
278,319,597
689,649,1338
781,121,902
78,263,341
52,606,658
784,997,1781
390,374,764
24,793,817
429,484,913
964,853,1817
532,177,709
360,669,1029
316,865,1181
905,382,1287
608,336,937
221,267,488
445,168,613
255,271,526
186,340,526
226,980,1188
35,441,476
265,875,1140
813,998,1811
853,330,1171
660,246,906
704,447,1151
609,127,736
111,282,393
574,605,1179
827,286,1113
729,790,1519
337,921,1258
110,337,447
764,690,1454
358,782,1140
868,985,1853
269,575,844
657,220,877
122,193,315
280,567,847
525,69,607
366,916,1282
410,784,1194
332,914,1246
966,601,1567
379,463,842
350,802,1152
903,512,1415
911,902,1813
548,264,812
240,492,732
9,621,630
469,326,795
985,150,1135
274,468,742
427,724,1151
463,356,819
883,239,1128
533,87,620
920,47,967
289,880,1169
422,919,1341
914,504,1418
733,44,777
767,898,1665
372,629,1001
35,30,65
516,813,1329
257,919,1176
976,791,1767
126,761,887
288,263,551
597,716,1313
183,229,412
737,357,1094
532,292,823
642,997,1637
296,169,465
404,422,826
948,573,1521
976,299,1275
268,379,647
319,178,497
301,170,471
159,748,907
38,24,62
218,256,474
23,936,959
803,319,1122
882,86,968
117,848,956
642,602,1244
754,341,1095
650,238,888
892,941,1833
481,577,1058
210,90,300
944,181,1125
474,935,1408
770,33,803
560,202,762
859,859,1718
718,652,1370
629,56,684
121,21,142
569,818,1387
483,874,1357
362,636,998
674,210,884
553,413,966
605,221,826
947,364,1311
663,24,687
909,622,1531
817,9,826
341,756,1097
925,405,1330
240,777,1017
980,672,1636
858,27,885
960,234,1177
34,234,268
268,321,589
371,206,577
317,721,1038
8,458,466
365,198,563
954,117,1071
204,836,1034
708,672,1380
38,861,899
727,67,794
747,426,1173
387,925,1312
445,768,1213
768,63,831
263,177,440
506,94,613
423,638,1061
214,202,428
939,265,1213
280,296,576
246,295,541
828,317,1145
397,713,1110
87,458,545
997,654,1651
756,317,1073
448,624,1072
754,450,1204
774,862,1636
608,259,867
725,247,972
539,868,1407
948,895,1843
286,551,837
70,48,118
665,685,1350
125,476,601
340,878,1218
21,44,82
379,366,745
778,373,1151
736,184,920
674,868,1542
14,952,954
270,708,978
905,321,1216
573,671,1244
377,745,1122
363,511,874
533,601,1134
158,144,302
435,748,1183
415,765,1180
629,595,1224
365,10,375
749,940,1689
986,872,1858
762,249,1011
579,373,952
441,700,1139
426,758,1184
381,796,1177
863,237,1100
3,166,169
670,521,1191
59,567,638
242,719,961
947,531,1479
66,791,857
870,790,1660
453,683,1136
645,104,749
842,397,1239
953,427,1380
145,398,543
138,387,525
940,13,953
863,566,1429
311,266,577
748,752,1500
828,156,977
461,122,583
586,307,893
173,833,1006
166,661,827
851,277,1128
53,294,347
408,8,416
729,755,1484
4,652,656
199,172,371
929,569,1498
198,320,513
455,643,1098
536,34,570
42,874,916
249,466,715
432,86,509
858,644,1502
443,702,1148
454,712,1166
601,251,852
37,129,166
496,835,1331
402,113,515
728,44,772
568,210,779
23,931,954
732,205,937
453,673,1126
138,450,588
195,699,894
67,578,645
780,270,1050
208,860,1068
242,829,1071
558,972,1530
212,523,755
711,968,1679
980,216,1196
604,423,1027
678,945,1623
302,919,1221
284,392,676
455,69,524
955,86,1041
900,90,990
788,771,1559
631,708,1339
446,628,1074
180,719,899
903,329,1232
668,938,1606
102,900,1002
789,435,1224
859,682,1537
607,847,1454
836,233,1069
306,706,1012
41,969,1010
285,418,703
157,861,1018
197,356,553
881,319,1200
471,627,1098
927,372,1299
179,454,633
49,236,285
874,690,1564
721,73,794
646,552,1198
520,718,1238
748,643,1391
266,259,525
452,621,1073
59,272,331
451,908,1359
609,981,1590
20,943,963
572,184,756
975,754,1729
238,175,428
806,157,963
749,659,1408
179,550,729
142,325,467
740,163,913
795,333,1128
266,439,705
505,42,547
602,206,808
184,164,348
423,7,430
650,979,1629
532,83,615
928,648,1576
437,431,868
510,310,820
794,711,1505
918,922,1840
160,982,1142
720,637,1356
597,181,778
910,312,1222
36,75,111
30,60,90
389,496,885
592,247,839
883,149,1032
689,837,1526
27,565,592
546,837,1383
854,192,1046
602,54,656
396,760,1156
514,771,1285
530,428,958
359,59,418
247,344,591
475,154,629
904,256,1160
178,406,584
75,985,1060
846,631,1477
94,892,986
846,267,1118
708,670,1378
205,310,535
402,705,1107
144,90,234
479,898,1377
152,991,1143
412,706,1118
213,93,306
965,465,1430
838,85,923
694,591,1285
508,409,917
270,314,582
473,660,1133
409,536,945
654,955,1609
100,849,949
162,107,269
787,831,1618
472,411,883
288,206,494
102,575,677
589,612,1201
721,100,821
464,17,481
919,764,1683
156,129,285
4,500,504
161,525,686
830,962,1792
218,172,390
893,598,1491
697,970,1667
241,399,640
11,104,115
104,798,902
612,445,1057
627,714,1341
181,659,840
348,220,568
873,424,1297
625,584,1209
884,634,1518
68,18,86
580,213,793
984,748,1732
910,742,1652
447,643,1090
353,110,463
493,401,894
504,62,566
660,568,1238
467,938,1405
14,287,301
645,913,1558
635,529,1164
869,745,1594
86,220,306
653,71,724
872,241,1113
411,799,1210
97,985,1082
581,651,1232
446,233,679
430,634,1064
883,769,1652
580,201,781
197,384,581
617,177,794
530,944,1474
358,895,1253
237,479,716
524,250,774
396,746,1142
185,15,200
386,187,573
670,365,1035
554,355,909
775,129,901
778,236,1017
691,776,1467
886,965,1851
517,431,948
198,712,910
328,933,1261
864,748,1612
73,83,156
670,61,744
716,196,912
139,442,599
318,208,526
748,665,1413
373,735,1108
89,146,250
791,572,1363
639,477,1116
248,948,1196
553,527,1080
593,578,1171
293,585,878
656,72,728
108,892,1000
442,929,1371
799,214,1022
904,486,1390
851,793,1644
948,85,1033
394,856,1250
920,917,1837
322,77,399
837,114,951
264,403,667
474,242,700
137,509,646
845,305,1150
786,556,1342
901,13,914
295,891,1186
72,246,318
236,303,539
822,658,1480
526,335,861
353,629,982
400,297,697
53,615,663
855,727,1582
765,758,1523
713,534,1247
5,620,625
282,461,743
270,645,915
956,579,1535
334,6,340
632,453,1085
200,739,939
28,446,474
284,337,621
755,549,1304
834,946,1780
97,872,969
941,946,1887
261,389,650
948,563,1511
543,309,852
59,270,329
663,378,1041
424,480,904
103,816,919
481,288,769
208,37,245
831,972,1803
862,963,1825
598,146,738
925,709,1634
897,122,1019
1,563,564
732,237,969
343,386,729
55,534,589
653,640,1293
593,539,1132
243,119,362
309,936,1245
805,296,1101
143,297,440
451,9,460
1000,975,1975
162,947,1109
857,472,1329
604,178,782
189,575,764
162,928,1090
889,352,1241
304,421,725
147,632,763
720,734,1454
905,882,1781
855,987,1842
356,350,706
831,587,1418
614,3,617
233,64,297
586,441,1027
755,481,1236
894,502,1396
423,494,917
803,424,1227
564,424,988
756,26,782
347,951,1298
538,413,951
948,303,1251
327,429,756
825,992,1817
375,613,988
564,902,1466
129,176,305
861,165,1026
844,902,1746
131,206,324
827,265,1092
89,752,857
213,48,261
760,434,1194
435,673,1108
581,127,708
878,77,955
939,575,1501
514,347,861
588,636,1210
555,65,624
113,84,197
18,513,531
211,491,702
353,522,866
544,645,1189
455,863,1318
870,834,1704
493,894,1387
442,133,575
155,19,174
113,937,1050
441,912,1353
667,419,1086
394,524,918
110,53,153
250,576,826
346,531,877
689,786,1475
920,955,1875
26,835,861
719,689,1408
732,537,1269
869,626,1495
544,637,1181
822,304,1126
588,165,753
857,767,1624
697,126,823
628,225,863
461,466,927
353,319,672
632,580,1212
685,371,1056
770,90,860
513,173,686
803,238,1041
219,132,351
627,123,750
103,817,920
281,419,700
542,772,1314
918,845,1763
273,150,423
768,926,1694
613,992,1605
352,463,815
625,825,1450
66,450,516
939,567,1506
97,972,1069
976,735,1711
691,560,1251
558,77,635
449,538,987
294,801,1084
149,138,287
456,762,1218
827,189,1016
717,491,1208
927,895,1822
495,209,704
696,551,1247
533,413,946
597,252,847
397,380,777
746,283,1029
422,533,955
466,220,686
154,596,750
798,547,1345
173,415,588
82,911,993
528,748,1279
366,858,1224
811,68,879
140,462,602
181,69,238
998,231,1229
61,329,390
615,151,766
535,392,927
82,999,1081
463,527,990
94,666,760
654,339,993
59,342,401
6,625,631
643,540,1183
978,979,1957
559,754,1313
22,871,893
662,706,1368
224,224,448
581,846,1427
383,505,888
86,509,610
1000,41,1041
510,322,823
672,175,847
289,517,806
497,929,1426
129,6,135
927,790,1734
248,608,856
707,494,1201
742,846,1588
888,331,1219
27,972,999
117,897,1010
281,999,1280
414,122,536
361,108,469
206,808,1014
260,95,355
467,26,493
62,69,131
999,94,1093
603,674,1277
395,304,706
44,475,519
83,450,533
470,753,1223
278,579,857
53,20,62
828,597,1425
881,484,1365
682,241,923
831,350,1181
494,830,1324
471,369,840
879,16,895
568,341,909
18,768,786
699,672,1371
310,140,450
862,102,964
42,146,188
745,366,1111
100,136,236
511,817,1328
496,226,722
304,44,348
190,15,215
489,898,1387
953,903,1856
743,416,1159
350,920,1270
90,925,1015
619,319,938
560,192,752
84,135,219
248,302,550
254,756,1010
189,361,550
422,324,746
83,444,527
975,798,1773
555,752,1307
678,448,1126
832,282,1114
267,198,465
12,925,937
653,442,1095
801,682,1501
241,88,329
182,578,760
917,768,1685
3,638,644
274,200,474
65,508,573
451,857,1308
677,486,1163
181,945,1126
323,33,356
715,655,1370
559,683,1242
654,258,912
511,667,1178
779,931,1710
71,519,590
938,709,1647
170,857,1027
668,929,1597
621,185,806
516,663,1164
323,213,536
962,118,1080
94,725,819
674,533,1207
377,461,838
158,930,1088
576,142,718
439,166,605
648,983,1631
705,286,991
643,571,1214
985,868,1853
612,529,1141
24,141,165
600,930,1530
516,541,1057
665,224,904
571,207,778
891,129,1020
538,545,1083
700,782,1482
143,95,238
579,327,889
687,743,1430
348,630,978
719,930,1649
2,290,292
366,510,876
990,893,1883
451,846,1297
655,604,1259
986,201,1187
686,123,809
292,687,979
475,353,828
753,805,1558
849,396,1245
305,48,353
340,134,474
494,105,599
965,55,1020
719,990,1709
762,443,1205
15,701,716
726,256,982
608,877,1485
289,743,1032
273,167,440
881,436,1317
996,657,1666
863,587,1450
677,887,1564
927,575,1502
440,670,1110
157,286,443
743,633,1376
382,242,624
51,321,378
425,789,1214
839,304,1143
729,365,1094
352,154,506
282,51,333
186,661,847
610,395,1005
606,112,718
26,169,195
804,824,1628
274,799,1064
651,105,756
193,96,289
714,353,1067
751,385,1136
788,271,1059
153,521,674
410,307,717
242,524,766
299,990,1289
458,533,991
714,416,1130
366,981,1335
338,503,841
902,191,1093
340,614,954
65,151,216
471,947,1401
143,992,1137
549,967,1516
305,321,626
311,714,1025
894,814,1708
482,876,1372
142,243,378
19,661,680
17,872,889
841,457,1298
920,64,984
946,613,1559
846,285,1131
766,154,920
519,281,800
267,39,306
76,19,95
359,234,593
632,567,1199
131,278,414
883,399,1301
352,862,1214
778,222,1000
714,670,1384
17,945,962
418,291,709
635,983,1618
412,638,1050
592,585,1177
504,471,975
933,692,1625
603,662,1265
760,305,1065
181,241,429
610,561,1171
612,202,814
492,638,1130
356,871,1227
211,468,679
717,235,952
720,915,1635
869,161,1030
497,900,1397
780,860,1640
115,336,451
790,770,1560
872,287,1159
766,142,908
421,669,1090
64,918,982
984,165,1149
353,128,481
20,806,826
913,569,1482
292,1,293
278,713,991
153,368,521
712,344,1056
992,112,1104
171,78,249
474,621,1095
253,206,459
630,537,1167
319,553,872
681,82,763
926,860,1786
581,671,1252
142,912,1054
301,889,1190
208,91,293
41,235,276
663,319,982
735,48,783
426,33,459
355,834,1189
189,406,595
278,770,1048
383,287,670
649,570,1219
515,992,1507
672,210,882
906,600,1506
315,475,790
947,490,1437
993,953,1946
312,627,939
462,99,564
973,368,1341
587,557,1144
655,66,721
110,551,661
479,864,1343
637,113,750
69,563,632
172,651,823
40,826,866
123,13,136
575,784,1366
724,566,1290
411,913,1324
19,455,474
825,831,1656
867,130,997
260,39,299
32,782,814
129,101,230
921,595,1516
503,615,1118
287,87,374
216,986,1202
234,497,731
425,408,833
889,997,1886
526,767,1293
473,348,821
907,301,1208
281,996,1277
565,324,889
731,317,1048
729,864,1593
512,53,560
934,865,1799
153,538,691
714,559,1273
418,845,1263
226,263,489
176,956,1132
77,499,576
559,523,1082
836,781,1617
582,975,1557
52,496,548
896,205,1101
842,568,1410
849,293,1142
217,23,240
610,937,1547
194,275,469
869,314,1183
779,89,868
417,726,1143
425,617,1042
724,827,1551
995,883,1878
733,943,1676
450,560,1010
104,184,288
707,795,1502
981,879,1860
135,331,466
113,591,704
554,894,1448
857,83,940
11,379,390
288,805,1093
127,385,512
502,440,942
791,707,1498
95,39,134
763,599,1362
62,335,397
263,797,1060
440,960,1400
743,453,1196
476,85,561
790,168,958
221,361,582
826,263,1089
615,564,1179
670,694,1364
402,954,1356
760,526,1286
573,284,857
806,961,1767
638,918,1556
250,657,907
410,886,1296
15,892,907
553,845,1398
43,617,660
855,686,1544
644,416,1044
866,174,1040
695,473,1168
677,667,1344
541,329,870
588,915,1508
66,624,690
958,874,1832
725,629,1354
461,753,1214
405,875,1280
323,297,620
67,148,215
952,780,1732
588,523,1111
678,442,1120
578,186,764
114,546,660
659,865,1524
994,966,1960
182,509,691
407,397,804
289,890,1179
864,315,1182
280,888,1153
731,609,1340
768,181,949
321,236,557
545,647,1192
438,667,1087
223,61,284
373,589,962
660,509,1169
954,527,1481
837,553,1390
623,409,1032
524,54,578
706,49,755
117,222,339
926,327,1253
288,691,979
183,656,839
166,364,530
848,101,949
123,302,425
598,504,1102
348,662,1010
505,267,772
271,880,1151
87,539,626
875,370,1245
921,598,1519
709,216,925
516,656,1172
368,633,1001
746,355,1101
202,201,403
460,75,535
675,371,1046
82,634,716
93,840,933
52,32,84
551,714,1265
928,225,1153
973,759,1732
157,625,782
891,604,1495
507,781,1288
926,45,971
354,414,768
38,380,418
542,314,856
335,808,1143
660,56,716
452,337,789
900,84,984
418,921,1339
549,659,1208
556,755,1322
727,433,1160
889,549,1438
57,158,215
659,240,899
810,125,935
692,292,984
636,706,1342
88,533,612
960,745,1724
817,302,1119
435,435,870
108,487,595
46,159,205
210,804,1014
508,489,997
334,37,371
896,688,1584
646,525,1171
589,112,701
835,101,936
266,221,487
723,542,1265
665,204,869
603,493,1096
701,911,1612
646,929,1575
622,249,871
209,912,1121
732,375,1107
804,296,1100
617,115,732
254,247,501
455,151,606
143,937,1080
938,831,1769
854,485,1339
307,112,419
710,833,1543
337,665,1002
141,254,395
435,247,682
734,630,1364
469,800,1269
875,140,1015
168,192,360
285,848,1133
376,776,1152
143,342,485
45,250,287
762,691,1453
176,477,653
302,319,621
679,152,831
242,60,302
66,920,986
434,184,618
808,68,876
779,55,834
380,526,906
238,35,273
986,151,1137
669,775,1444
203,521,724
708,347,1055
537,949,1486
855,489,1344
715,629,1344
836,945,1781
285,281,566
179,828,1007
58,845,903
686,292,978
975,131,1106
480,23,503
192,897,1089
552,848,1400
22,401,423
145,91,236
654,813,1467
363,111,474
713,361,1074
261,506,767
15,850,865
977,657,1634
670,351,1021
345,238,583
763,21,784
840,555,1395
926,768,1694
15,378,393
843,983,1826
737,248,985
683,211,895
646,417,1056
731,809,1540
78,966,1044
294,145,445
279,707,986
692,850,1542
691,872,1563
516,358,874
942,378,1320
607,966,1573
305,483,788
672,912,1584
212,599,792
810,680,1490
615,372,972
520,225,750
914,733,1647
