x,y,z
64774,93886,27197
38546,43731,82277
6948,44125,51073
57569,56461,114030
96252,50604,146856
67148,27792,22361
8178,46459,54637
89978,3092,93070
56370,57357,113727
47685,63495,58191
64804,43015,78519
13605,52388,65993
98542,13357,19244
98355,41892,140247
38511,30545,69056
72034,34266,27361
14053,78361,90055
95118,21677,116795
33950,36589,70539
72194,34863,107057
63803,33357,97160
48424,25701,74125
48517,22920,71437
51627,18573,70200
38046,87123,125169
78881,59745,138626
49159,59859,109018
25719,6708,32427
5305,32592,37897
94220,91300,185520
69338,48560,117898
76411,97411,173822
59162,85517,144679
45672,83120,128792
52373,2443,54816
56324,8572,44657
86930,62854,75059
65659,26975,92634
16079,92649,108728
81556,83823,165379
81485,94657,176142
43174,81253,124427
35147,69056,104203
72517,10665,83182
93078,53017,146095
59898,41658,101556
83189,14796,97985
56775,27297,84072
83002,18332,101334
95438,22763,118201
34876,28618,63494
50685,32653,83338
99899,19175,119074
79296,60575,139871
44734,27630,72364
39809,3321,11135
99933,56047,155980
27240,72659,99899
3198,173,3371
70071,85584,155655
39297,69734,109031
44241,24553,68794
93560,45882,139442
43252,61312,104564
90942,85110,176052
64379,44950,109329
61711,52842,42347
84592,58749,143341
77696,74879,152575
76218,12839,89057
23308,77058,100366
59052,55979,115031
60506,53686,33517
31979,82204,114183
31493,33829,65322
10500,34522,45022
77611,78354,155965
42747,32835,75582
89286,71975,161261
65204,15029,80233
88137,68484,156621
20127,18411,38538
71113,40266,111379
22866,96205,119071
62153,46472,108625
21827,45468,57627
44924,94575,139499
31135,22571,53706
30715,8946,39661
83374,84503,167877
87656,50174,137830
82785,89024,171809
13252,71390,84642
3565,72338,75903
80852,18673,99525
51102,46830,97932
41854,50479,92333
14347,38008,52355
87126,44660,131786
94344,9786,104130
41613,88246,129859
37330,29986,67316
24332,56309,80641
72388,78348,150736
97155,68495,165650
43978,73904,117882
59141,84969,144110
15001,36144,56013
84479,99529,184008
18559,29909,48468
84940,28614,113554
73449,53585,127034
99840,37337,137177
92483,7272,99755
93085,69193,162278
97799,81227,179026
15510,13641,29151
75291,19673,94964
67371,60493,127864
67461,27720,95181
44064,81681,125745
36101,48948,85049
26432,51734,78166
53304,24282,77586
45458,34028,79486
14773,25226,94225
54200,29356,83556
99986,49062,149048
98901,12279,111180
35731,54646,90377
10392,28649,39041
4865,43677,48542
11737,1569,13306
37345,20266,57611
85451,15024,100475
35270,72820,10809
56255,83195,139450
63146,30594,93740
27208,87207,114415
95480,78277,173757
7012,68427,75439
63357,38604,101961
34182,33824,42380
94920,18382,113302
1436,73404,74840
75159,32148,107307
41902,65685,107587
54721,85689,71751
55686,3718,59404
6875,39114,45989
1578,56859,58437
2494,60212,62706
67734,54732,122466
33716,34339,68055
79559,63877,143436
92778,13278,106056
43961,60858,104819
49000,71403,120403
28193,76869,57573
22516,57450,79966
99853,13766,51268
46414,56057,51628
92163,7919,100082
81600,87310,168910
19604,18387,37991
42721,73619,116340
35052,40386,75438
84838,27787,80296
94548,21320,115868
29124,79854,108978
82165,94141,176306
14916,82591,97507
43625,83251,126876
78241,63826,142067
86440,91522,177962
70933,42061,112994
72887,54498,127385
85596,33605,119201
81225,73890,155115
98732,89317,188049
47856,76744,124600
13454,804,14258
56878,62105,17767
46927,49518,96445
35964,88440,124404
20928,71417,92345
99011,39456,138467
38779,68796,107575
89755,27648,117403
33540,99293,132833
20737,83625,104362
54308,95646,149954
36411,39713,76124
37708,40623,78331
43558,47087,90645
76715,6041,96704
13340,50075,63415
35903,64358,100261
24254,77535,101789
85625,78636,164261
15405,73171,88576
92661,73353,8475
85708,19035,104743
41800,56381,98181
53155,34663,87818
44891,87885,132776
98638,90402,189040
43962,25678,69640
77652,16627,94279
80702,51769,132471
21454,44617,66071
89576,5006,94582
53966,98052,152018
92315,88392,180707
73456,40690,114146
244,4030,4274
2911,21355,24266
14468,24799,39267
33834,6516,40350
24787,7478,32265
72483,16209,88692
48173,39648,87821
20992,84052,105044
20042,82023,102065
68034,9801,77835
21476,73266,94742
66496,27098,53521
77168,75544,21991
81381,4390,85771
36474,8240,44714
19222,91803,111025
48770,66247,115017
60853,41604,102457
25692,94376,120068
88500,56698,145198
64532,11903,76435
48491,50211,87138
10348,48418,58766
95600,77625,31978
17362,87609,71599
99646,66631,166277
50041,81563,131604
62583,79598,142181
1437,86924,88361
9914,44880,54794
38165,80010,118175
99460,33433,38591
71725,18324,90049
57038,21540,78578
46956,61503,108459
20645,66915,87560
22392,36385,54979
13252,25978,37118
66461,83567,150028
31726,98488,130214
11755,45629,57384
96902,98718,195620
40981,98035,139016
74337,79740,154077
57624,86659,144283
67246,2038,69284
61272,52912,114184
59073,12637,71710
30781,96935,127716
46431,30701,77132
95011,74386,169397
93385,32795,24899
66215,50556,99653
96244,34308,130552
77158,62548,139706
10395,47726,56363
41799,5942,47741
30199,95761,125960
95104,51448,146552
94554,13069,107623
44687,6313,25264
46175,79733,125908
82188,97687,12697
65976,41807,107783
71286,65732,137018
9446,41499,50945
63426,22705,86131
79008,12533,91541
96537,51825,148362
35766,29706,65472
14568,54693,69261
63794,36729,100523
26657,14646,34475
91901,52098,143999
33095,9310,43747
40244,36124,76368
93532,54690,148222
46444,28640,75084
25002,71405,96407
4398,52592,56990
80762,10782,91544
54687,48182,102869
91735,3977,95712
3606,31449,35055
36003,28950,64953
76436,50191,126627
29449,19177,48626
60738,71292,132030
98260,76395,174655
26156,23867,50023
98009,87409,185418
78696,56783,135479
32533,95974,128507
94807,78228,173035
48300,14085,62385
52974,51315,104289
58129,80331,138460
78411,49682,128093
90747,19158,88004
16859,68473,85332
92842,90495,183337
55393,95455,150848
46302,68468,114770
11385,42354,53739
41267,43186,84453
3369,69690,73059
34389,44612,79001
97039,32244,129283
17097,15440,32537
51283,33717,85000
81490,77406,158896
97012,91321,188333
24456,14409,38865
54681,32097,86778
40694,59136,99830
11418,58936,70354
78306,22740,101046
37783,22094,59877
74883,14170,89053
89191,11193,100384
37672,17565,55237
59571,75386,134957
5056,29041,34097
75624,95643,171267
46056,3205,49261
55687,89223,144910
67493,42609,24037
71888,74330,146218
54556,36088,90644
57144,21065,78209
98955,91862,190817
38990,79701,118691
6584,63725,70309
86180,2932,89112
73656,76883,150539
30771,29955,60726
73546,97605,41497
92236,75191,167427
56117,29300,85417
61261,44850,106111
2803,80051,82854
71554,92632,164186
89728,56132,145860
30582,65680,96262
10981,31017,41998
89704,81102,170806
75422,77493,152915
21832,6068,27900
44383,61616,105999
56578,1915,58493
22293,2242,24535
34577,63376,97953
32130,42877,75007
19687,19188,38875
22640,12524,35164
6219,99130,105349
76738,17449,94187
50091,39760,89851
82157,89105,41428
78943,96108,175051
25988,82398,4029
31740,37330,69070
88993,99097,188090
81375,74800,156175
6166,64902,71068
52746,61346,114092
19082,20360,39442
29400,30217,59617
37777,53727,91504
90608,12755,103363
37861,98559,136420
94494,64520,159014
13963,77663,91626
19020,33600,52620
48710,11936,60646
66267,35285,101552
12031,75770,87801
30762,13909,64828
12824,40352,53176
88611,29239,117850
89797,32802,122599
69394,87082,156476
29069,18307,47376
54890,69931,124821
29355,59935,89290
50867,67224,29707
1735,71207,72942
46612,35191,81803
49085,49914,98999
66683,35639,102322
63338,5727,69065
86099,38356,124455
12978,25121,38099
69185,21506,90691
73198,18068,91266
3721,97375,101096
59850,59310,119160
35240,24307,59547
84672,30985,115657
13406,52182,65588
18007,77637,95644
34987,97726,132713
829,60796,61625
29465,7201,36666
89015,50201,139216
2152,23506,8688
65805,42591,108396
56746,41398,98144
82586,10172,92758
47023,92423,139446
35966,57516,93482
34586,4290,38876
47639,69320,116959
1603,52585,54188
48945,20318,69263
73630,62276,135906
67393,45642,113035
13384,47652,61036
76606,4271,20779
91554,77027,168581
83985,38884,122869
96146,78257,26652
78626,1393,80019
75419,61510,136929
1544,93143,94687
92221,47082,139303
65770,34475,100245
22593,74694,97287
99893,30813,130706
47380,77646,125026
68806,33866,102672
61997,36510,98507
6576,55025,61601
32482,4355,36837
95309,14440,109749
9134,83905,93039
43788,70618,114406
91169,79514,170683
53991,21567,79519
92950,93018,185968
34515,83446,117961
48197,71989,120186
42414,2003,44417
27854,68765,31558
54552,63594,118146
3741,95904,99645
81228,12382,93610
88925,8915,97840
48884,47858,96742
86121,75951,162072
20494,29069,49563
7148,15761,22909
21448,6373,27821
87246,58488,145734
35400,30838,66238
51801,60216,112017
36892,44015,80907
23412,2921,26333
67493,54955,122448
12303,19250,19683
27724,41611,69335
92771,61854,10654
35683,64462,100145
35962,37412,12517
25834,90196,116030
76109,29115,105224
8940,35123,44063
24927,79492,104419
69656,78255,89805
22624,7081,29705
80646,92005,172651
82506,26208,108714
39890,27028,66918
39244,42843,82087
37336,46194,83530
61880,78332,140212
84022,29217,57534
29458,74450,103908
69192,28326,97518
36081,60355,96436
1418,14626,16044
37464,19475,20711
16706,19589,36295
57342,99857,64209
25664,7179,32843
86938,62035,148973
31021,16622,47643
97221,41743,138964
20785,11564,32349
17663,71483,89146
52880,5972,58852
86853,63655,150508
82880,284,83164
98978,40390,139368
82370,52004,134374
46219,90218,136437
92485,47918,140403
48387,77836,126223
59843,1495,61338
43269,64795,108064
40738,51975,92713
45885,71984,117869
32496,73277,105773
53392,44621,98013
28956,51510,80466
62959,45212,108171
17122,26047,43169
69253,62388,131641
76447,14149,90596
31591,50651,82242
77165,64362,141527
83513,34615,118128
46301,35651,81952
81234,89439,170673
94517,86066,180583
17882,1202,19084
64643,3269,67912
77956,63728,141684
76669,82698,159367
43711,78163,121874
67377,32229,99606
38826,29886,68712
33573,55621,89194
40620,55545,96165
52053,93308,96617
45358,37755,83113
52454,95454,147908
72479,39771,112250
88304,23762,112066
87440,38018,125458
19103,66288,85391
81302,63574,7375
42646,55265,97911
91284,67359,158643
77572,92635,170207
40870,24237,65107
